slot_index,screenshot_filename,screenshot_index,slot_position,is_final_screenshot,aligned_entry_index,entry_id,card_name,count,card_type,type,hp,stage,is_ex,variant,confidence_score,confidence_tier,evidence,warnings
44,IMG_1560.jpg,5,r3c3,False,44,roselia,Roselia,2,Pokemon,Grass,60,Basic,False,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
45,IMG_1561.jpg,6,r1c1,False,45,spinarak,Spinarak,2,Pokemon,Grass,50,Basic,False,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
46,IMG_1561.jpg,6,r1c2,False,46,sunkern,Sunkern,1,Pokemon,Grass,50,Basic,False,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
47,IMG_1561.jpg,6,r1c3,False,47,cherubi,Cherubi,1,Pokemon,Grass,50,Basic,False,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
48,IMG_1561.jpg,6,r2c1,False,48,sobble,Sobble,3,Pokemon,Water,60,Basic,False,,0.7,low,sequential_order_alignment,no_ocr_name_verification
49,IMG_1561.jpg,6,r2c2,False,49,wartortle,Wartortle,1,Pokemon,Water,90,Stage 1,False,,0.7,low,sequential_order_alignment,no_ocr_name_verification
50,IMG_1561.jpg,6,r2c3,False,50,vaporeon_ex,Vaporeon ex,1,Pokemon,Water,160,Stage 1,True,,0.7,low,sequential_order_alignment,no_ocr_name_verification
51,IMG_1561.jpg,6,r3c1,False,51,clawitzer,Clawitzer,2,Pokemon,Water,100,Stage 1,False,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
52,IMG_1561.jpg,6,r3c2,False,52,huntail,Huntail,2,Pokemon,Water,100,Stage 1,False,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
53,IMG_1561.jpg,6,r3c3,False,53,gorebyss,Gorebyss,2,Pokemon,Water,100,Stage 1,False,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
54,IMG_1562.jpg,7,r1c1,False,54,quagsire,Quagsire,1,Pokemon,Water,130,Stage 1,False,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
55,IMG_1562.jpg,7,r1c2,False,55,poliwhirl,Poliwhirl,3,Pokemon,Water,90,Stage 1,False,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
56,IMG_1562.jpg,7,r1c3,False,56,paldean_tauros,Paldean Tauros,3,Pokemon,Water,100,Basic,False,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
57,IMG_1562.jpg,7,r2c1,False,57,shellder,Shellder,1,Pokemon,Water,60,Basic,False,,0.7,low,sequential_order_alignment,no_ocr_name_verification
58,IMG_1562.jpg,7,r2c2,False,58,clauncher,Clauncher,2,Pokemon,Water,60,Basic,False,,0.7,low,sequential_order_alignment,no_ocr_name_verification
59,IMG_1562.jpg,7,r2c3,False,59,basculin,Basculin,1,Pokemon,Water,80,Basic,False,,0.7,low,sequential_order_alignment,no_ocr_name_verification
60,IMG_1562.jpg,7,r3c1,False,60,wooper,Wooper,2,Pokemon,Water,60,Basic,False,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
61,IMG_1562.jpg,7,r3c2,False,61,castform_rainy_form,Castform Rainy Form,3,Pokemon,Water,70,Basic,False,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
62,IMG_1562.jpg,7,r3c3,False,62,castform_snowy_form,Castform Snowy Form,1,Pokemon,Water,70,Basic,False,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
63,IMG_1563.jpg,8,r1c1,False,63,clamperl,Clamperl,5,Pokemon,Water,60,Basic,False,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
64,IMG_1563.jpg,8,r1c2,False,64,cubchoo,Cubchoo,1,Pokemon,Water,70,Basic,False,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
65,IMG_1563.jpg,8,r1c3,False,65,frillish,Frillish,1,Pokemon,Water,60,Basic,False,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
66,IMG_1563.jpg,8,r2c1,False,66,chewtle,Chewtle,1,Pokemon,Water,80,Basic,False,,0.7,low,sequential_order_alignment,no_ocr_name_verification
67,IMG_1563.jpg,8,r2c2,False,67,zekrom,Zekrom,1,Pokemon,Lightning,120,Basic,False,,0.7,low,sequential_order_alignment,no_ocr_name_verification
68,IMG_1563.jpg,8,r2c3,False,68,magnezone_ex,Magnezone ex,1,Pokemon,Lightning,180,Stage 2,True,,0.7,low,sequential_order_alignment,no_ocr_name_verification
69,IMG_1563.jpg,8,r3c1,False,69,eelektross,Eelektross,1,Pokemon,Lightning,140,Stage 2,False,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
70,IMG_1563.jpg,8,r3c2,False,70,magneton_spark_art,Magneton,1,Pokemon,Lightning,80,Stage 1,False,Spark art,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
71,IMG_1563.jpg,8,r3c3,False,71,magneton_magnetic_blast_art,Magneton,2,Pokemon,Lightning,90,Stage 1,False,Magnetic Blast art,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
72,IMG_1564.jpg,9,r1c1,False,72,magnemite_electro_ball_art,Magnemite,1,Pokemon,Lightning,50,Basic,False,Electro Ball art,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
73,IMG_1564.jpg,9,r1c2,False,73,magnemite_thunder_shock_art,Magnemite,2,Pokemon,Lightning,60,Basic,False,Thunder Shock art,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
74,IMG_1564.jpg,9,r1c3,False,74,heliolisk,Heliolisk,2,Pokemon,Lightning,100,Stage 1,False,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
75,IMG_1564.jpg,9,r2c1,False,75,helioptile,Helioptile,2,Pokemon,Lightning,60,Basic,False,,0.7,low,sequential_order_alignment,no_ocr_name_verification
76,IMG_1564.jpg,9,r2c2,False,76,lanturn,Lanturn,2,Pokemon,Lightning,110,Stage 1,False,,0.7,low,sequential_order_alignment,no_ocr_name_verification
77,IMG_1564.jpg,9,r2c3,False,77,morpeko,Morpeko,3,Pokemon,Lightning,70,Basic,False,,0.7,low,sequential_order_alignment,no_ocr_name_verification
78,IMG_1564.jpg,9,r3c1,False,78,joltik,Joltik,1,Pokemon,Lightning,30,Basic,False,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
79,IMG_1564.jpg,9,r3c2,False,79,voltorb,Voltorb,3,Pokemon,Lightning,50,Basic,False,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
80,IMG_1564.jpg,9,r3c3,False,80,electrode,Electrode,1,Pokemon,Lightning,90,Stage 1,False,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
81,IMG_1565.jpg,10,r1c1,False,81,pikachu,Pikachu,1,Pokemon,Lightning,60,Basic,False,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
82,IMG_1565.jpg,10,r1c2,False,82,meloetta,Meloetta,3,Pokemon,Psychic,70,Basic,False,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
83,IMG_1565.jpg,10,r1c3,False,83,mismagius,Mismagius,2,Pokemon,Psychic,90,Stage 1,False,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
84,IMG_1565.jpg,10,r2c1,False,84,hattrem,Hattrem,2,Pokemon,Psychic,80,Stage 1,False,,0.7,low,sequential_order_alignment,no_ocr_name_verification
85,IMG_1565.jpg,10,r2c2,False,85,aromatisse,Aromatisse,2,Pokemon,Psychic,100,Stage 1,False,,0.7,low,sequential_order_alignment,no_ocr_name_verification
86,IMG_1565.jpg,10,r2c3,False,86,galarian_rapidash,Galarian Rapidash,1,Pokemon,Psychic,100,Stage 1,False,,0.7,low,sequential_order_alignment,no_ocr_name_verification
87,IMG_1565.jpg,10,r3c1,False,87,misdreavus,Misdreavus,4,Pokemon,Psychic,50,Basic,False,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
88,IMG_1565.jpg,10,r3c2,False,88,solosis,Solosis,2,Pokemon,Psychic,40,Basic,False,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
89,IMG_1565.jpg,10,r3c3,False,89,spritzee,Spritzee,6,Pokemon,Psychic,60,Basic,False,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
90,IMG_1566.jpg,11,r1c1,False,90,ralts,Ralts,1,Pokemon,Psychic,60,Basic,False,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
91,IMG_1566.jpg,11,r1c2,False,91,sinistea,Sinistea,1,Pokemon,Psychic,30,Basic,False,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
92,IMG_1566.jpg,11,r1c3,False,92,espurr,Espurr,1,Pokemon,Psychic,60,Basic,False,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
93,IMG_1566.jpg,11,r2c1,False,93,oricorio,Oricorio,2,Pokemon,Psychic,80,Basic,False,,0.7,low,sequential_order_alignment,no_ocr_name_verification
94,IMG_1566.jpg,11,r2c2,False,94,hatenna,Hatenna,1,Pokemon,Psychic,60,Basic,False,,0.7,low,sequential_order_alignment,no_ocr_name_verification
95,IMG_1566.jpg,11,r2c3,False,95,bramblin,Bramblin,2,Pokemon,Psychic,60,Basic,False,,0.7,low,sequential_order_alignment,no_ocr_name_verification
96,IMG_1566.jpg,11,r3c1,False,96,marowak_ex,Marowak ex,1,Pokemon,Fighting,140,Stage 1,True,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
97,IMG_1566.jpg,11,r3c2,False,97,single_strike_urshifu,Single Strike Urshifu,1,Pokemon,Darkness,120,Basic,False,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
98,IMG_1566.jpg,11,r3c3,False,98,sandslash,Sandslash,2,Pokemon,Fighting,100,Stage 1,False,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
99,IMG_1567.jpg,12,r1c1,False,99,hariyama,Hariyama,2,Pokemon,Fighting,120,Stage 1,False,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
100,IMG_1567.jpg,12,r1c2,False,100,machamp,Machamp,1,Pokemon,Fighting,150,Stage 2,False,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
101,IMG_1567.jpg,12,r1c3,False,101,machop,Machop,1,Pokemon,Fighting,70,Basic,False,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
102,IMG_1567.jpg,12,r2c1,False,102,makuhita,Makuhita,1,Pokemon,Fighting,80,Basic,False,,0.7,low,sequential_order_alignment,no_ocr_name_verification
103,IMG_1567.jpg,12,r2c2,False,103,hitmonchan,Hitmonchan,1,Pokemon,Fighting,80,Basic,False,,0.7,low,sequential_order_alignment,no_ocr_name_verification
104,IMG_1567.jpg,12,r2c3,False,104,mienfoo_pound_art,Mienfoo,2,Pokemon,Fighting,60,Basic,False,Pound art,0.7,low,sequential_order_alignment,no_ocr_name_verification
105,IMG_1567.jpg,12,r3c1,False,105,mienfoo_chop_art,Mienfoo,1,Pokemon,Fighting,50,Basic,False,Chop art,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
106,IMG_1567.jpg,12,r3c2,False,106,mienshao_spiral_kick_art,Mienshao,1,Pokemon,Fighting,80,Stage 1,False,Spiral Kick art,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
107,IMG_1567.jpg,12,r3c3,False,107,mienshao_low_sweep_art,Mienshao,2,Pokemon,Fighting,90,Stage 1,False,Low Sweep art,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
108,IMG_1568.jpg,13,r1c1,False,108,riolu_fighting_fast_art,Riolu,1,Pokemon,Fighting,60,Basic,False,Fighting Fast art,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
109,IMG_1568.jpg,13,r1c2,False,109,riolu_fighting_fist_art,Riolu,2,Pokemon,Fighting,60,Basic,False,Fighting Fist art,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
110,IMG_1568.jpg,13,r1c3,False,110,sandshrew,Sandshrew,2,Pokemon,Fighting,70,Basic,False,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
111,IMG_1568.jpg,13,r2c1,False,111,cubone,Cubone,2,Pokemon,Fighting,60,Basic,False,,0.7,low,sequential_order_alignment,no_ocr_name_verification
112,IMG_1568.jpg,13,r2c2,False,112,onix_land_crush_art,Onix,1,Pokemon,Fighting,110,Basic,False,Land Crush art,0.7,low,sequential_order_alignment,no_ocr_name_verification
113,IMG_1568.jpg,13,r2c3,False,113,onix_dig_art,Onix,2,Pokemon,Fighting,100,Basic,False,Dig art,0.7,low,sequential_order_alignment,no_ocr_name_verification
114,IMG_1568.jpg,13,r3c1,False,114,nosepass,Nosepass,6,Pokemon,Fighting,70,Basic,False,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
115,IMG_1568.jpg,13,r3c2,False,115,sandygast,Sandygast,1,Pokemon,Fighting,80,Basic,False,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
116,IMG_1568.jpg,13,r3c3,False,116,palossand,Palossand,1,Pokemon,Fighting,140,Stage 1,False,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
117,IMG_1569.jpg,14,r1c1,False,117,bewear,Bewear,2,Pokemon,Fighting,110,Stage 1,False,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
118,IMG_1569.jpg,14,r1c2,False,118,sandaconda,Sandaconda,2,Pokemon,Fighting,130,Stage 1,False,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
119,IMG_1569.jpg,14,r1c3,False,119,gligar,Gligar,1,Pokemon,Fighting,60,Basic,False,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
120,IMG_1569.jpg,14,r2c1,False,120,trapinch,Trapinch,1,Pokemon,Fighting,60,Basic,False,,0.7,low,sequential_order_alignment,no_ocr_name_verification
121,IMG_1569.jpg,14,r2c2,False,121,roggenrola,Roggenrola,1,Pokemon,Fighting,70,Basic,False,,0.7,low,sequential_order_alignment,no_ocr_name_verification
122,IMG_1569.jpg,14,r2c3,False,122,rockruff,Rockruff,1,Pokemon,Fighting,60,Basic,False,,0.7,low,sequential_order_alignment,no_ocr_name_verification
123,IMG_1569.jpg,14,r3c1,False,123,toxicroak,Toxicroak,2,Pokemon,Fighting,90,Stage 1,False,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
124,IMG_1569.jpg,14,r3c2,False,124,croagunk,Croagunk,4,Pokemon,Fighting,60,Basic,False,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
125,IMG_1569.jpg,14,r3c3,False,125,meditite,Meditite,1,Pokemon,Fighting,60,Basic,False,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
126,IMG_1570.jpg,15,r1c1,False,126,throh,Throh,1,Pokemon,Fighting,100,Basic,False,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
127,IMG_1570.jpg,15,r1c2,False,127,sawk,Sawk,2,Pokemon,Fighting,90,Basic,False,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
128,IMG_1570.jpg,15,r1c3,False,128,dwebble,Dwebble,1,Pokemon,Fighting,70,Basic,False,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
129,IMG_1570.jpg,15,r2c1,False,129,stufful,Stufful,1,Pokemon,Fighting,70,Basic,False,,0.7,low,sequential_order_alignment,no_ocr_name_verification
130,IMG_1570.jpg,15,r2c2,False,130,rolycoly,Rolycoly,3,Pokemon,Fighting,80,Basic,False,,0.7,low,sequential_order_alignment,no_ocr_name_verification
131,IMG_1570.jpg,15,r2c3,False,131,silicobra,Silicobra,2,Pokemon,Fighting,70,Basic,False,,0.7,low,sequential_order_alignment,no_ocr_name_verification
132,IMG_1570.jpg,15,r3c1,False,132,kubfu,Kubfu,1,Pokemon,Fighting,60,Basic,False,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
133,IMG_1570.jpg,15,r3c2,False,133,zygarde_10_forme,Zygarde 10% Forme,1,Pokemon,Fighting,80,Basic,False,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
134,IMG_1570.jpg,15,r3c3,False,134,zygarde_50_forme,Zygarde 50% Forme,3,Pokemon,Fighting,120,Basic,False,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
135,IMG_1571.jpg,16,r1c1,False,135,zygarde_ex,Zygarde ex,1,Pokemon,Fighting,170,Basic,True,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
136,IMG_1571.jpg,16,r1c2,False,136,krookodile,Krookodile,1,Pokemon,Fighting,160,Stage 2,False,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
137,IMG_1571.jpg,16,r1c3,False,137,bonsly,Bonsly,1,Pokemon,Fighting,30,Basic,False,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
138,IMG_1571.jpg,16,r2c1,False,138,yveltal,Yveltal,1,Pokemon,Darkness,120,Basic,False,,0.7,low,sequential_order_alignment,no_ocr_name_verification
139,IMG_1571.jpg,16,r2c2,False,139,crobat,Crobat,1,Pokemon,Darkness,130,Stage 2,False,,0.7,low,sequential_order_alignment,no_ocr_name_verification
140,IMG_1571.jpg,16,r2c3,False,140,golbat,Golbat,1,Pokemon,Darkness,80,Stage 1,False,,0.7,low,sequential_order_alignment,no_ocr_name_verification
141,IMG_1571.jpg,16,r3c1,False,141,zubat,Zubat,1,Pokemon,Darkness,50,Basic,False,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
142,IMG_1571.jpg,16,r3c2,False,142,alolan_persian,Alolan Persian,1,Pokemon,Darkness,100,Stage 1,False,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
143,IMG_1571.jpg,16,r3c3,False,143,garbodor,Garbodor,3,Pokemon,Darkness,130,Stage 2,False,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
144,IMG_1572.jpg,17,r1c1,False,144,skrelp,Skrelp,1,Pokemon,Darkness,60,Basic,False,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
145,IMG_1572.jpg,17,r1c2,False,145,mandibuzz,Mandibuzz,1,Pokemon,Darkness,100,Stage 1,False,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
146,IMG_1572.jpg,17,r1c3,False,146,vullaby,Vullaby,5,Pokemon,Darkness,60,Basic,False,,0.62,low,sequential_order_alignment; boundary_row_penalty,no_ocr_name_verification
147,IMG_1572.jpg,17,r2c1,False,147,malamar,Malamar,1,Pokemon,Darkness,100,Stage 1,False,,0.7,low,sequential_order_alignment,no_ocr_name_verification
