card_id,card_name,quantity,special_type,is_ex,rarity,source_screenshot,ambiguity_category,candidate_sets,candidate_packs,candidate_card_numbers_by_set,confirmed_set_code,confirmed_card_number,confirmed_yes_no
porygon2_unknown_unknown_v1,Porygon2,1,unknown,FALSE,unknown,IMG_1530.PNG,multi-set,A2|A4|B1a|B3,Crimson Blaze|Lugia|Palkia|Pulsing Aura,A2: #128; A4: #136; B1a: #57; B3: #223,B1a,57,Yes
furfrou_unknown_unknown_v1,Furfrou,1,unknown,FALSE,two_diamond,IMG_1531.PNG,multi-set,B1|B1a|B2|B2b|B3,Crimson Blaze|Fantastical Parade|Mega Altaria|Mega Blaziken|Mega Gyarados|Mega Shine|Pulsing Aura,"B1: #206,207,208; B1a: #65; B2: #141; B2b: #64; B3: #144",B1a,65,Yes
doublade_unknown_unknown_v1,Doublade,1,unknown,FALSE,two_diamond,IMG_1531.PNG,two-pack,B1|B2,Fantastical Parade|Mega Blaziken,B1: #171; B2: #119,B2,119,Yes
charmeleon_unknown_unknown_v1,Charmeleon,2,unknown,FALSE,unknown,IMG_1531.PNG,special-art-vs-regular,A1|A2b|A4b|B1a|B2b,Charizard|Crimson Blaze|Deluxe Pack: ex|Mega Shine|Shining Revelry,"A1: #34; A2b: #9,100; A4b: #57,58; B1a: #12; B2b: #8,92",B2b,8,Yes
breloom_unknown_unknown_v1,Breloom,1,unknown,FALSE,two_diamond,IMG_1532.PNG,shared-pool,B1|B3,Pulsing Aura|shared (all packs),B1: #12; B3: #12,B3,12,Yes
darmanitan_unknown_unknown_v1,Darmanitan,3,unknown,FALSE,two_diamond,IMG_1532.PNG,multi-set-with-shared,A4|B1|B3,Mega Gyarados|Pulsing Aura|shared (all packs),A4: #36; B1: #40; B3: #30,B3,30,Yes
poliwhirl_unknown_unknown_v1,Poliwhirl,2,unknown,FALSE,unknown,IMG_1532.PNG,multi-set,A1|A4|A4a|B1|B3,Charizard|Lugia|Mega Gyarados|Pulsing Aura|Secluded Springs,A1: #60; A4: #39; A4a: #14; B1: #296; B3: #34,B3,34,Yes
paldean_tauros_unknown_unknown_v1,Paldean Tauros,2,unknown,FALSE,unknown,IMG_1532.PNG,multi-set,A2b|B2a|B2b|B3,Mega Shine|Paldean Wonders|Pulsing Aura|Shining Revelry,A2b: #13; B2a: #58; B2b: #14; B3: #36,B3,36,Yes
quagsire_unknown_unknown_v1,Quagsire,1,unknown,FALSE,unknown,IMG_1532.PNG,two-pack,A4|B3,Lugia|Pulsing Aura,"A4: #52; B3: #39,162",B3,39,Yes
magneton_unknown_unknown_v2,Magneton,2,unknown,FALSE,two_diamond,IMG_1533.PNG,special-art-vs-regular,A1|A2|A2a|A4|A4b|B1a|B3,Arceus|Crimson Blaze|Deluxe Pack: ex|Lugia|Pikachu|Pulsing Aura|shared (all packs),"A1: #98; A2: #52; A2a: #54; A4: #218; A4b: #135,136; B1a: #25; B3: #53",B3,53,Yes
bewear_unknown_unknown_v1,Bewear,2,unknown,FALSE,two_diamond,IMG_1533.PNG,multi-set,A3|A3a|B1|B3,Extradimensional Crisis|Lunala|Mega Blaziken|Pulsing Aura,"A3: #139,178; A3a: #58; B1: #142; B3: #91",B3,91,Yes
golbat_unknown_unknown_v1,Golbat,1,unknown,FALSE,unknown,IMG_1533.PNG,special-art-vs-regular,A1|A2a|A4|A4b|B3,Arceus|Deluxe Pack: ex|Ho-Oh|Mewtwo|Pulsing Aura,"A1: #173,242; A2a: #49; A4: #108; A4b: #228,229; B3: #99,213",B3,99,Yes
malamar_unknown_unknown_v1,Malamar,1,unknown,FALSE,unknown,IMG_1533.PNG,two-pack,A4a|B3,Pulsing Aura|Secluded Springs,"A4a: #52; B3: #112,175",B3,112,Yes
bisharp_unknown_unknown_v1,Bisharp,1,unknown,FALSE,unknown,IMG_1534.PNG,shared-pool,A1|B3,Pulsing Aura|shared (all packs),"A1: #180; B3: #120,176",B3,120,Yes
herdier_unknown_unknown_v1,Herdier,1,unknown,FALSE,two_diamond,IMG_1534.PNG,multi-set,A3a|B1|B3,Extradimensional Crisis|Mega Altaria|Pulsing Aura,A3a: #55; B1: #202; B3: #138,B3,138,Yes
corvisquire_unknown_unknown_v1,Corvisquire,1,unknown,FALSE,two_diamond,IMG_1534.PNG,two-pack,B1|B3,Mega Blaziken|Pulsing Aura,B1: #210; B3: #146,B3,146,Yes
bulbasaur_unknown_unknown_v2,Bulbasaur,1,unknown,FALSE,one_diamond,IMG_1535.PNG,special-art-vs-regular,A1|A3|A4b|B1a,Crimson Blaze|Deluxe Pack: ex|Mewtwo|Solgaleo,"A1: #1,227; A3: #210; A4b: #1,2; B1a: #1",A1/A4b,"1, 1",Yes
sandshrew_unknown_unknown_v1,Sandshrew,2,unknown,FALSE,unknown,IMG_1535.PNG,multi-set-with-shared,A1|B1|B1a|B2,Crimson Blaze|Fantastical Parade|shared (all packs),"A1: #137; B1: #122; B1a: #94; B2: #77,170",A1,137,Yes
dratini_unknown_unknown_v1,Dratini,1,unknown,FALSE,unknown,IMG_1536.PNG,special-art-vs-regular,A1|A3b|A4b|B2b,Deluxe Pack: ex|Eevee Grove|Mega Shine|Mewtwo,"A1: #183; A3b: #51; A4b: #267,268; B2b: #51,105",A1,183,Yes
rattata_unknown_unknown_v1,Rattata,2,unknown,FALSE,unknown,IMG_1536.PNG,shared-pool,A1|A2b,Shining Revelry|shared (all packs),A1: #189; A2b: #58,A1,189,Yes
raticate_unknown_unknown_v1,Raticate,1,unknown,FALSE,unknown,IMG_1536.PNG,shared-pool,A1|A2b,Shining Revelry|shared (all packs),A1: #190; A2b: #59,A1,190,Yes
farfetch_d_unknown_unknown_v1,Farfetch'd,1,unknown,FALSE,unknown,IMG_1536.PNG,special-art-vs-regular,A1|A3b|A4a|A4b,Deluxe Pack: ex|Eevee Grove|Secluded Springs|shared (all packs),"A1: #198; A3b: #102; A4a: #56; A4b: #280,281,359",A1/A4b,"198, 280",Yes
cherubi_unknown_unknown_v1,Cherubi,1,unknown,FALSE,unknown,IMG_1536.PNG,special-art-vs-regular,A2a|A4|A4b,Arceus|Deluxe Pack: ex|shared (all packs),"A2a: #6; A4: #23; A4b: #25,26",A4b,26,Yes
bulbasaur_unknown_unknown_v3,Bulbasaur,3,unknown,FALSE,one_diamond,IMG_1537.PNG,special-art-vs-regular,A1|A3|A4b|B1a,Crimson Blaze|Deluxe Pack: ex|Mewtwo|Solgaleo,"A1: #1,227; A3: #210; A4b: #1,2; B1a: #1",B1a,1,Yes
charmander_unknown_unknown_v1,Charmander,4,unknown,FALSE,unknown,IMG_1537.PNG,special-art-vs-regular,A1|A2b|A4b|B1a|B2b,Charizard|Crimson Blaze|Deluxe Pack: ex|Mega Shine|Shining Revelry,"A1: #33,230; A2b: #8,99; A4b: #55,56; B1a: #11; B2b: #7,91",B1a,11,Yes
magnemite_unknown_unknown_v1,Magnemite,1,unknown,FALSE,one_diamond,IMG_1538.PNG,special-art-vs-regular,A1|A2|A2a|A4|A4b|B1a|B3,Arceus|Crimson Blaze|Deluxe Pack: ex|Lugia|Pikachu|Pulsing Aura|shared (all packs),"A1: #97; A2: #51; A2a: #53,80; A4: #217; A4b: #133,134; B1a: #24; B3: #52",B1a,24,Yes
misdreavus_unknown_unknown_v1,Misdreavus,4,unknown,FALSE,one_diamond,IMG_1538.PNG,special-art-vs-regular,A2|A4|A4a|A4b|B1|B1a,Crimson Blaze|Deluxe Pack: ex|Ho-Oh|Palkia|Secluded Springs|shared (all packs),"A2: #66; A4: #220; A4a: #32; A4b: #161,162; B1: #99; B1a: #30",B1a,30,Yes
spritzee_unknown_unknown_v1,Spritzee,6,unknown,FALSE,one_diamond,IMG_1538.PNG,shared-pool,B1|B1a,Crimson Blaze|shared (all packs),B1: #115; B1a: #35,B1a,35,Yes
aromatisse_unknown_unknown_v1,Aromatisse,2,unknown,FALSE,unknown,IMG_1539.PNG,shared-pool,B1|B1a,Crimson Blaze|shared (all packs),B1: #116; B1a: #36,B1a,36,Yes
onix_unknown_unknown_v2,Onix,2,unknown,FALSE,unknown,IMG_1539.PNG,multi-set,A1|A4|B1a|B3,Crimson Blaze|Ho-Oh|Pikachu|Pulsing Aura,A1: #150; A4: #92; B1a: #38; B3: #211,B1a,38,Yes
makuhita_unknown_unknown_v1,Makuhita,1,unknown,FALSE,unknown,IMG_1539.PNG,multi-set-with-shared,A3|B1|B1a,Crimson Blaze|Mega Blaziken|shared (all packs),"A3: #90; B1: #126,240; B1a: #39",B1a,39,Yes
grimer_unknown_unknown_v1,Grimer,3,unknown,FALSE,unknown,IMG_1539.PNG,multi-set,A1|B1a|B3,Crimson Blaze|Mewtwo|Pulsing Aura,A1: #174; B1a: #45; B3: #215,B1a,45,Yes
trubbish_unknown_unknown_v1,Trubbish,1,unknown,FALSE,unknown,IMG_1539.PNG,multi-set-with-shared,A3|B1a|B2b,Crimson Blaze|Mega Shine|shared (all packs),"A3: #113; B1a: #49,74; B2b: #41",B1a,49,Yes
porygon_unknown_unknown_v1,Porygon,3,unknown,FALSE,unknown,IMG_1539.PNG,multi-set,A1|A2|A4|B1a|B3,Crimson Blaze|Lugia|Mewtwo|Palkia|Pulsing Aura,"A1: #209,249; A2: #127; A4: #135; B1a: #56; B3: #222",B1a,56,Yes
buneary_unknown_unknown_v1,Buneary,2,unknown,FALSE,unknown,IMG_1540.PNG,multi-set,A2|A2b|B1a,Crimson Blaze|Dialga|Shining Revelry,"A2: #137; A2b: #66; B1a: #62,75",B1a,62,Yes
charmander_unknown_unknown_v2,Charmander,2,unknown,FALSE,unknown,IMG_1541.PNG,special-art-vs-regular,A1|A2b|A4b|B1a|B2b,Charizard|Crimson Blaze|Deluxe Pack: ex|Mega Shine|Shining Revelry,"A1: #33,230; A2b: #8,99; A4b: #55,56; B1a: #11; B2b: #7,91",B2b,7,Yes
tangela_unknown_unknown_v1,Tangela,1,unknown,FALSE,unknown,IMG_1541.PNG,multi-set,A1|A2|A4|B2|B3,Charizard|Dialga|Fantastical Parade|Ho-Oh|Pulsing Aura,A1: #24; A2: #4; A4: #4; B2: #205; B3: #1,B3,1,Yes
shroomish_unknown_unknown_v2,Shroomish,1,unknown,FALSE,unknown,IMG_1541.PNG,shared-pool,B1|B3,Pulsing Aura|shared (all packs),"B1: #11; B3: #11,158",B3,11,Yes
darumaka_unknown_unknown_v1,Darumaka,2,unknown,FALSE,one_diamond,IMG_1542.PNG,multi-set-with-shared,A4|B1|B3,Mega Gyarados|Pulsing Aura|shared (all packs),A4: #35; B1: #39; B3: #29,B3,29,Yes
magnemite_unknown_unknown_v2,Magnemite,2,unknown,FALSE,one_diamond,IMG_1543.PNG,special-art-vs-regular,A1|A2|A2a|A4|A4b|B1a|B3,Arceus|Crimson Blaze|Deluxe Pack: ex|Lugia|Pikachu|Pulsing Aura|shared (all packs),"A1: #97; A2: #51; A2a: #53,80; A4: #217; A4b: #133,134; B1a: #24; B3: #52",B3,52,Yes
morpeko_unknown_unknown_v2,Morpeko,1,unknown,FALSE,unknown,IMG_1543.PNG,two-pack,B2b|B3,Mega Shine|Pulsing Aura,"B2b: #45,73; B3: #62,164",B3,62,Yes
oricorio_unknown_unknown_v1,Oricorio,2,unknown,FALSE,unknown,IMG_1543.PNG,special-art-vs-regular,A3|A4b|B1|B2|B3,Deluxe Pack: ex|Fantastical Parade|Lunala|Mega Gyarados|Pulsing Aura|Solgaleo,"A3: #34,66,76,77,165; A4b: #146,147,178,179; B1: #303; B2: #22,161; B3: #68,166",B3,68,Yes
bramblin_unknown_unknown_v1,Bramblin,2,unknown,FALSE,unknown,IMG_1543.PNG,two-pack,B2a|B3,Paldean Wonders|Pulsing Aura,B2a: #10; B3: #72,B3,72,Yes
riolu_unknown_unknown_v2,Riolu,2,unknown,FALSE,unknown,IMG_1544.PNG,special-art-vs-regular,A2|A2b|A4b|B3,Deluxe Pack: ex|Dialga|Pulsing Aura|Shining Revelry,"A2: #91; A2b: #42,104; A4b: #210,211; B3: #79,169",B3,79,Yes
stufful_unknown_unknown_v1,Stufful,1,unknown,FALSE,one_diamond,IMG_1544.PNG,multi-set,A3|A3a|B1|B3,Extradimensional Crisis|Lunala|Mega Blaziken|Pulsing Aura,A3: #138; A3a: #57; B1: #141; B3: #90,B3,90,Yes
rolycoly_unknown_unknown_v1,Rolycoly,2,unknown,FALSE,one_diamond,IMG_1544.PNG,two-pack,B1|B3,Mega Gyarados|Pulsing Aura,B1: #145; B3: #92,B3,92,Yes
seviper_unknown_unknown_v1,Seviper,2,unknown,FALSE,unknown,IMG_1545.PNG,two-pack,A4a|B3,Pulsing Aura|Secluded Springs,"A4a: #48; B3: #104,173",B3,104,Yes
zorua_unknown_unknown_v1,Zorua,1,unknown,FALSE,unknown,IMG_1545.PNG,multi-set,A4a|B2b|B3,Mega Shine|Pulsing Aura|Secluded Springs,"A4a: #49; B2b: #43,102; B3: #105,174",B3,105,Yes
chansey_unknown_unknown_v1,Chansey,1,unknown,FALSE,unknown,IMG_1545.PNG,multi-set,A1|A4|B3,Ho-Oh|Pikachu|Pulsing Aura,"A1: #202; A4: #131; B3: #127,220",B3,127,Yes
watchog_unknown_unknown_v1,Watchog,2,unknown,FALSE,unknown,IMG_1545.PNG,shared-pool,B1|B3,Pulsing Aura|shared (all packs),B1: #200; B3: #136,B3,136,Yes
lillipup_unknown_unknown_v1,Lillipup,2,unknown,FALSE,one_diamond,IMG_1546.PNG,multi-set,A3a|B1|B3,Extradimensional Crisis|Mega Altaria|Pulsing Aura,A3a: #54; B1: #201; B3: #137,B3,137,Yes
minccino_unknown_unknown_v1,Minccino,4,unknown,FALSE,one_diamond,IMG_1546.PNG,multi-set-with-shared,A1|A3b|B2b|B3,Eevee Grove|Mega Shine|Pulsing Aura|shared (all packs),A1: #212; A3b: #62; B2b: #62; B3: #142,B3,142,Yes
cinccino_unknown_unknown_v1,Cinccino,2,unknown,FALSE,unknown,IMG_1546.PNG,multi-set-with-shared,A1|A3b|B2b|B3,Eevee Grove|Mega Shine|Pulsing Aura|shared (all packs),"A1: #213; A3b: #63; B2b: #63; B3: #143,179",B3,143,Yes
