entry_id,name,count,type,card_type,stage,hp,is_ex,attack,variant,trainer_subtype,match_status,match_confidence,candidate_count,unique_packs,unique_expansions,candidate_summary,recommended_resolution
moltres_ex,Moltres ex,1,Fire,Pokemon,0,140,True,Heat Blast 70 / Inferno Dance,,,ambiguous_cross_set,low,5,Charizard | Deluxe Pack: ex | Eevee Grove,Deluxe Pack: ex | Eevee Grove | Genetic Apex,A1/47 Genetic Apex (Charizard) [four_diamond]; A1/255 Genetic Apex (Charizard) [double_star]; A1/274 Genetic Apex (Charizard) [double_star]; A3b/103 Eevee Grove (Eevee Grove) [double_star]; A4b/67 Deluxe Pack: ex (Deluxe Pack: ex) [four_diamond],needs_card_number
hearthflame_mask_ogerpon,Hearthflame Mask Ogerpon,1,Fire,Pokemon,0,80,False,Hearthflame Dance 40,,,exact_match,high,1,Fantastical Parade,Fantastical Parade,B2/27 Fantastical Parade (Fantastical Parade) [three_diamond],no_action_needed
victini,Victini,4,Fire,Pokemon,0,70,False,V-Flame 40,,,exact_match,high,1,Pulsing Aura,Pulsing Aura,B3/25 Pulsing Aura (Pulsing Aura) [three_diamond],no_action_needed
turtonator,Turtonator,2,Fire,Pokemon,0,110,False,Shell Trap 40,,,exact_match,high,1,Mega Gyarados,Mega Rising,B1/47 Mega Rising (Mega Gyarados) [two_diamond],no_action_needed
arcanine,Arcanine,1,Fire,Pokemon,1,120,False,Fire Fang 50,,,exact_match,high,1,Mega Blaziken,Mega Rising,B1/29 Mega Rising (Mega Blaziken) [two_diamond],no_action_needed
darumaka,Darumaka,2,Fire,Pokemon,0,60,False,Headbutt 10,,,ambiguous_cross_set,low,2,Mega Gyarados | Pulsing Aura,Mega Rising | Pulsing Aura,B1/39 Mega Rising (Mega Gyarados) [one_diamond]; B3/29 Pulsing Aura (Pulsing Aura) [one_diamond],needs_card_number
darmanitan,Darmanitan,3,Fire,Pokemon,1,120,False,Double Smash 40+,,,ambiguous_cross_set,low,2,Mega Gyarados | Pulsing Aura,Mega Rising | Pulsing Aura,B1/40 Mega Rising (Mega Gyarados) [two_diamond]; B3/30 Pulsing Aura (Pulsing Aura) [two_diamond],needs_card_number
larvesta,Larvesta,3,Fire,Pokemon,0,80,False,Steady Firebreathing 20,,,exact_match,high,1,Pulsing Aura,Pulsing Aura,B3/31 Pulsing Aura (Pulsing Aura) [one_diamond],no_action_needed
numel,Numel,2,Fire,Pokemon,0,70,False,Knock Away 20+,,,exact_match,high,1,Pulsing Aura,Pulsing Aura,B3/21 Pulsing Aura (Pulsing Aura) [one_diamond],no_action_needed
castform_sunny_form,Castform Sunny Form,1,Fire,Pokemon,0,70,False,Sunny Scorching 30,,,exact_match,high,1,Pulsing Aura,Pulsing Aura,B3/24 Pulsing Aura (Pulsing Aura) [one_diamond],no_action_needed
mega_camerupt_ex,Mega Camerupt ex,1,Fire,Pokemon,1,210,True,Volcanic Kaboom 160,,,unanimous_pack,medium,3,Pulsing Aura,Pulsing Aura,B3/23 Pulsing Aura (Pulsing Aura) [four_diamond]; B3/181 Pulsing Aura (Pulsing Aura) [double_star]; B3/195 Pulsing Aura (Pulsing Aura) [double_star],no_action_needed
blaziken,Blaziken,1,Fire,Pokemon,2,140,False,Blaze Kick 100,,,ambiguous_cross_set,low,2,Mega Blaziken | Pulsing Aura,Mega Rising | Pulsing Aura,B1/35 Mega Rising (Mega Blaziken) [three_diamond]; B3/208 Pulsing Aura (Pulsing Aura) [one_star],needs_card_number
bulbasaur,Bulbasaur,1,Grass,Pokemon,0,70,False,Vine Whip 40,,,ambiguous_cross_set,low,3,Crimson Blaze | Deluxe Pack: ex,Crimson Blaze | Deluxe Pack: ex,A4b/1 Deluxe Pack: ex (Deluxe Pack: ex) [one_diamond]; A4b/2 Deluxe Pack: ex (Deluxe Pack: ex) [one_diamond]; B1a/1 Crimson Blaze (Crimson Blaze) [one_diamond],needs_card_number
bulbasaur_alt_art,Bulbasaur,1,Grass,Pokemon,0,70,False,Vine Whip 40,alt art,,ambiguous_cross_set,low,3,Crimson Blaze | Deluxe Pack: ex,Crimson Blaze | Deluxe Pack: ex,A4b/1 Deluxe Pack: ex (Deluxe Pack: ex) [one_diamond]; A4b/2 Deluxe Pack: ex (Deluxe Pack: ex) [one_diamond]; B1a/1 Crimson Blaze (Crimson Blaze) [one_diamond],needs_card_number
bulbasaur_tackle_art,Bulbasaur,3,Grass,Pokemon,0,60,False,Tackle 20,Tackle art,,ambiguous_cross_set,low,3,Crimson Blaze | Deluxe Pack: ex,Crimson Blaze | Deluxe Pack: ex,A4b/1 Deluxe Pack: ex (Deluxe Pack: ex) [one_diamond]; A4b/2 Deluxe Pack: ex (Deluxe Pack: ex) [one_diamond]; B1a/1 Crimson Blaze (Crimson Blaze) [one_diamond],needs_card_number
ivysaur,Ivysaur,1,Grass,Pokemon,1,100,False,Synthesis,,,ambiguous_cross_set,low,3,Crimson Blaze | Deluxe Pack: ex,Crimson Blaze | Deluxe Pack: ex,A4b/3 Deluxe Pack: ex (Deluxe Pack: ex) [two_diamond]; A4b/4 Deluxe Pack: ex (Deluxe Pack: ex) [two_diamond]; B1a/2 Crimson Blaze (Crimson Blaze) [two_diamond],needs_card_number
mega_venusaur_ex,Mega Venusaur ex,2,Grass,Pokemon,2,240,True,Critical Bloom 120,,,unanimous_pack,medium,3,Crimson Blaze,Crimson Blaze,B1a/4 Crimson Blaze (Crimson Blaze) [four_diamond]; B1a/76 Crimson Blaze (Crimson Blaze) [double_star]; B1a/83 Crimson Blaze (Crimson Blaze) [double_star],no_action_needed
shroomish,Shroomish,3,Grass,Pokemon,0,60,False,Spore,,,unanimous_pack,medium,3,Pulsing Aura | shared pool,Mega Rising | Pulsing Aura,B1/11 Mega Rising (shared pool) [one_diamond]; B3/11 Pulsing Aura (Pulsing Aura) [one_diamond]; B3/158 Pulsing Aura (Pulsing Aura) [one_star],no_action_needed
budew,Budew,1,Grass,Pokemon,0,30,False,Prickly Powder 10,,,unanimous_pack,medium,2,Pulsing Aura,Pulsing Aura,B3/13 Pulsing Aura (Pulsing Aura) [three_diamond]; B3/159 Pulsing Aura (Pulsing Aura) [one_star],no_action_needed
breloom,Breloom,1,Grass,Pokemon,1,90,False,Pre-Dawn Strike 30+,,,unanimous_pack,medium,2,Pulsing Aura | shared pool,Mega Rising | Pulsing Aura,B1/12 Mega Rising (shared pool) [two_diamond]; B3/12 Pulsing Aura (Pulsing Aura) [two_diamond],no_action_needed
treecko,Treecko,2,Grass,Pokemon,0,60,False,Pound 20,,,unanimous_pack,medium,2,Pulsing Aura,Pulsing Aura,B3/5 Pulsing Aura (Pulsing Aura) [one_diamond]; B3/156 Pulsing Aura (Pulsing Aura) [one_star],no_action_needed
surskit,Surskit,1,Grass,Pokemon,0,50,False,Firefighting 10,,,exact_match,high,1,Pulsing Aura,Pulsing Aura,B3/9 Pulsing Aura (Pulsing Aura) [one_diamond],no_action_needed
masquerain,Masquerain,1,Grass,Pokemon,1,90,False,Gust 40,,,exact_match,high,1,Pulsing Aura,Pulsing Aura,B3/10 Pulsing Aura (Pulsing Aura) [one_diamond],no_action_needed
carnivine,Carnivine,1,Grass,Pokemon,0,80,False,Bite 30,,,exact_match,high,1,Pulsing Aura,Pulsing Aura,B3/14 Pulsing Aura (Pulsing Aura) [one_diamond],no_action_needed
sewaddle,Sewaddle,2,Grass,Pokemon,0,60,False,Gnaw 20,,,exact_match,high,1,Pulsing Aura,Pulsing Aura,B3/15 Pulsing Aura (Pulsing Aura) [one_diamond],no_action_needed
swadloon,Swadloon,2,Grass,Pokemon,1,80,False,Protect,,,exact_match,high,1,Pulsing Aura,Pulsing Aura,B3/16 Pulsing Aura (Pulsing Aura) [one_diamond],no_action_needed
applin,Applin,4,Grass,Pokemon,0,40,False,Share,,,exact_match,high,1,Pulsing Aura,Pulsing Aura,B3/19 Pulsing Aura (Pulsing Aura) [one_diamond],no_action_needed
leavanny,Leavanny,1,Grass,Pokemon,2,140,False,Razor Leaf 100,,,exact_match,high,1,Pulsing Aura,Pulsing Aura,B3/17 Pulsing Aura (Pulsing Aura) [two_diamond],no_action_needed
silcoon,Silcoon,1,Grass,Pokemon,1,80,False,Harden,,,exact_match,high,1,Mega Blaziken,Mega Rising,B1/4 Mega Rising (Mega Blaziken) [one_diamond],no_action_needed
seedot,Seedot,1,Grass,Pokemon,0,50,False,Rollout 20,,,exact_match,high,1,Mega Blaziken,Mega Rising,B1/8 Mega Rising (Mega Blaziken) [one_diamond],no_action_needed
mothim,Mothim,3,Grass,Pokemon,1,100,False,Cutting Wind 70,,,exact_match,high,1,Crimson Blaze,Crimson Blaze,B1a/10 Crimson Blaze (Crimson Blaze) [one_diamond],no_action_needed
burmy,Burmy,1,Grass,Pokemon,0,60,False,Hang Down 30,,,exact_match,high,1,Crimson Blaze,Crimson Blaze,B1a/9 Crimson Blaze (Crimson Blaze) [one_diamond],no_action_needed
tangela,Tangela,3,Grass,Pokemon,0,80,False,Bind 20,,,ambiguous_cross_set,low,2,Fantastical Parade | Pulsing Aura,Fantastical Parade | Pulsing Aura,B2/205 Fantastical Parade (Fantastical Parade) [one_star]; B3/1 Pulsing Aura (Pulsing Aura) [one_diamond],needs_card_number
venonat,Venonat,1,Grass,Pokemon,0,60,False,Tackle 20,,,exact_match,high,1,Mewtwo,Genetic Apex,A1/16 Genetic Apex (Mewtwo) [one_diamond],no_action_needed
roselia,Roselia,2,Grass,Pokemon,0,60,False,Trip Over 10+,,,exact_match,high,1,Fantastical Parade,Fantastical Parade,B2/4 Fantastical Parade (Fantastical Parade) [one_diamond],no_action_needed
spinarak,Spinarak,2,Grass,Pokemon,0,50,False,Sting 20,,,exact_match,high,1,Crimson Blaze,Crimson Blaze,B1a/5 Crimson Blaze (Crimson Blaze) [one_diamond],no_action_needed
sunkern,Sunkern,1,Grass,Pokemon,0,50,False,Seed Bomb 20,,,exact_match,high,1,Crimson Blaze,Crimson Blaze,B1a/7 Crimson Blaze (Crimson Blaze) [one_diamond],no_action_needed
cherubi,Cherubi,1,Grass,Pokemon,0,50,False,Sweets Relay 10+,,,ambiguous_cross_set,low,4,Arceus | Deluxe Pack: ex | shared pool,Deluxe Pack: ex | Triumphant Light | Wisdom of Sea and Sky,A2a/6 Triumphant Light (Arceus) [one_diamond]; A4/23 Wisdom of Sea and Sky (shared pool) [one_diamond]; A4b/25 Deluxe Pack: ex (Deluxe Pack: ex) [one_diamond]; A4b/26 Deluxe Pack: ex (Deluxe Pack: ex) [one_diamond],needs_card_number
sobble,Sobble,3,Water,Pokemon,0,60,False,Find a Friend,,,unanimous_pack,medium,2,Pulsing Aura,Pulsing Aura,B3/48 Pulsing Aura (Pulsing Aura) [one_diamond]; B3/203 Pulsing Aura (Pulsing Aura) [triple_star],no_action_needed
wartortle,Wartortle,1,Water,Pokemon,1,90,False,Waterfall 60,,,exact_match,high,1,Crimson Blaze,Crimson Blaze,B1a/18 Crimson Blaze (Crimson Blaze) [two_diamond],no_action_needed
vaporeon_ex,Vaporeon ex,1,Water,Pokemon,1,160,True,Wave Splash 80,,,unanimous_pack,medium,3,Pulsing Aura,Pulsing Aura,B3/37 Pulsing Aura (Pulsing Aura) [four_diamond]; B3/182 Pulsing Aura (Pulsing Aura) [double_star]; B3/196 Pulsing Aura (Pulsing Aura) [double_star],no_action_needed
clawitzer,Clawitzer,2,Water,Pokemon,1,100,False,Aqua Shower,,,exact_match,high,1,Crimson Blaze,Crimson Blaze,B1a/23 Crimson Blaze (Crimson Blaze) [two_diamond],no_action_needed
huntail,Huntail,2,Water,Pokemon,1,100,False,Hydro Splash 70,,,exact_match,high,1,Pulsing Aura,Pulsing Aura,B3/43 Pulsing Aura (Pulsing Aura) [two_diamond],no_action_needed
gorebyss,Gorebyss,2,Water,Pokemon,1,100,False,Aqua Edge 40,,,exact_match,high,1,Pulsing Aura,Pulsing Aura,B3/44 Pulsing Aura (Pulsing Aura) [two_diamond],no_action_needed
quagsire,Quagsire,1,Water,Pokemon,1,130,False,Muddy Headbutt 60+,,,unanimous_pack,medium,2,Pulsing Aura,Pulsing Aura,B3/39 Pulsing Aura (Pulsing Aura) [two_diamond]; B3/162 Pulsing Aura (Pulsing Aura) [one_star],no_action_needed
poliwhirl,Poliwhirl,3,Water,Pokemon,1,90,False,Hit Twice 30x,,,ambiguous_cross_set,low,2,Mega Gyarados | Pulsing Aura,Mega Rising | Pulsing Aura,B1/296 Mega Rising (Mega Gyarados) [one_star]; B3/34 Pulsing Aura (Pulsing Aura) [two_diamond],needs_card_number
paldean_tauros,Paldean Tauros,3,Water,Pokemon,0,100,False,Smash Kick 50,,,exact_match,high,1,Pulsing Aura,Pulsing Aura,B3/36 Pulsing Aura (Pulsing Aura) [two_diamond],no_action_needed
shellder,Shellder,1,Water,Pokemon,0,60,False,Tongue Slap 20,,,exact_match,high,1,Crimson Blaze,Crimson Blaze,B1a/92 Crimson Blaze (Crimson Blaze) [one_star],no_action_needed
clauncher,Clauncher,2,Water,Pokemon,0,60,False,Water Gun 20,,,exact_match,high,1,Crimson Blaze,Crimson Blaze,B1a/22 Crimson Blaze (Crimson Blaze) [one_diamond],no_action_needed
basculin,Basculin,1,Water,Pokemon,0,80,False,Surprise Strike 40+,,,exact_match,high,1,Crimson Blaze,Crimson Blaze,B1a/21 Crimson Blaze (Crimson Blaze) [one_diamond],no_action_needed
wooper,Wooper,2,Water,Pokemon,0,60,False,Tail Whap 30,,,exact_match,high,1,Pulsing Aura,Pulsing Aura,B3/38 Pulsing Aura (Pulsing Aura) [one_diamond],no_action_needed
castform_rainy_form,Castform Rainy Form,3,Water,Pokemon,0,70,False,Rainy Absorbing 30,,,exact_match,high,1,Pulsing Aura,Pulsing Aura,B3/40 Pulsing Aura (Pulsing Aura) [one_diamond],no_action_needed
castform_snowy_form,Castform Snowy Form,1,Water,Pokemon,0,70,False,Snowy Chilling 40,,,exact_match,high,1,Pulsing Aura,Pulsing Aura,B3/41 Pulsing Aura (Pulsing Aura) [one_diamond],no_action_needed
clamperl,Clamperl,5,Water,Pokemon,0,60,False,Sparkling Pearl 20,,,exact_match,high,1,Pulsing Aura,Pulsing Aura,B3/42 Pulsing Aura (Pulsing Aura) [one_diamond],no_action_needed
cubchoo,Cubchoo,1,Water,Pokemon,0,70,False,Icicle Punch 30,,,exact_match,high,1,Pulsing Aura,Pulsing Aura,B3/46 Pulsing Aura (Pulsing Aura) [one_diamond],no_action_needed
frillish,Frillish,1,Water,Pokemon,0,60,False,Water Gun 20,,,ambiguous_cross_set,low,2,Mega Gyarados | Pulsing Aura,Mega Rising | Pulsing Aura,B1/68 Mega Rising (Mega Gyarados) [one_diamond]; B3/209 Pulsing Aura (Pulsing Aura) [one_star],needs_card_number
chewtle,Chewtle,1,Water,Pokemon,0,80,False,Wave Splash 40,,,ambiguous_cross_set,low,2,Fantastical Parade | Mega Gyarados,Fantastical Parade | Mega Rising,B1/76 Mega Rising (Mega Gyarados) [one_diamond]; B2/43 Fantastical Parade (Fantastical Parade) [one_diamond],needs_card_number
zekrom,Zekrom,1,Lightning,Pokemon,0,120,False,Bolt Strike 110,,,unanimous_pack,medium,2,Pulsing Aura,Pulsing Aura,B3/59 Pulsing Aura (Pulsing Aura) [three_diamond]; B3/163 Pulsing Aura (Pulsing Aura) [one_star],no_action_needed
magnezone_ex,Magnezone ex,1,Lightning,Pokemon,2,180,True,Storm Blade 130,,,unanimous_pack,medium,3,Pulsing Aura,Pulsing Aura,B3/54 Pulsing Aura (Pulsing Aura) [four_diamond]; B3/183 Pulsing Aura (Pulsing Aura) [double_star]; B3/197 Pulsing Aura (Pulsing Aura) [double_star],no_action_needed
eelektross,Eelektross,1,Lightning,Pokemon,2,140,False,Thunder Fang 80,,,ambiguous_cross_set,low,2,Mewtwo | Secluded Springs,Genetic Apex | Secluded Springs,A1/109 Genetic Apex (Mewtwo) [three_diamond]; A4a/28 Secluded Springs (Secluded Springs) [two_diamond],needs_card_number
magneton_spark_art,Magneton,1,Lightning,Pokemon,1,80,False,Spark 20,Spark art,,ambiguous_cross_set,low,2,Crimson Blaze | Pulsing Aura,Crimson Blaze | Pulsing Aura,B1a/25 Crimson Blaze (Crimson Blaze) [two_diamond]; B3/53 Pulsing Aura (Pulsing Aura) [two_diamond],needs_card_number
magneton_magnetic_blast_art,Magneton,2,Lightning,Pokemon,1,90,False,Magnetic Blast 50,Magnetic Blast art,,ambiguous_cross_set,low,2,Crimson Blaze | Pulsing Aura,Crimson Blaze | Pulsing Aura,B1a/25 Crimson Blaze (Crimson Blaze) [two_diamond]; B3/53 Pulsing Aura (Pulsing Aura) [two_diamond],needs_card_number
magnemite_electro_ball_art,Magnemite,1,Lightning,Pokemon,0,50,False,Electro Ball 30,Electro Ball art,,ambiguous_cross_set,low,2,Crimson Blaze | Pulsing Aura,Crimson Blaze | Pulsing Aura,B1a/24 Crimson Blaze (Crimson Blaze) [one_diamond]; B3/52 Pulsing Aura (Pulsing Aura) [one_diamond],needs_card_number
magnemite_thunder_shock_art,Magnemite,2,Lightning,Pokemon,0,60,False,Thunder Shock 20,Thunder Shock art,,ambiguous_cross_set,low,2,Crimson Blaze | Pulsing Aura,Crimson Blaze | Pulsing Aura,B1a/24 Crimson Blaze (Crimson Blaze) [one_diamond]; B3/52 Pulsing Aura (Pulsing Aura) [one_diamond],needs_card_number
heliolisk,Heliolisk,2,Lightning,Pokemon,1,100,False,Thunderbolt 120,,,exact_match,high,1,Crimson Blaze,Crimson Blaze,B1a/29 Crimson Blaze (Crimson Blaze) [two_diamond],no_action_needed
helioptile,Helioptile,2,Lightning,Pokemon,0,60,False,Thunder Shock 10,,,exact_match,high,1,Crimson Blaze,Crimson Blaze,B1a/28 Crimson Blaze (Crimson Blaze) [one_diamond],no_action_needed
lanturn,Lanturn,2,Lightning,Pokemon,1,110,False,Electric Ball 70,,,exact_match,high,1,Pulsing Aura,Pulsing Aura,B3/58 Pulsing Aura (Pulsing Aura) [two_diamond],no_action_needed
morpeko,Morpeko,3,Lightning,Pokemon,0,70,False,Full Belly Bolt 10+,,,unanimous_pack,medium,2,Pulsing Aura,Pulsing Aura,B3/62 Pulsing Aura (Pulsing Aura) [one_diamond]; B3/164 Pulsing Aura (Pulsing Aura) [one_star],no_action_needed
joltik,Joltik,1,Lightning,Pokemon,0,30,False,Attach 20,,,exact_match,high,1,shared pool,Mega Rising,B1/92 Mega Rising (shared pool) [one_diamond],no_action_needed
voltorb,Voltorb,3,Lightning,Pokemon,0,50,False,Single Shot Blast 50,,,exact_match,high,1,Pulsing Aura,Pulsing Aura,B3/55 Pulsing Aura (Pulsing Aura) [one_diamond],no_action_needed
electrode,Electrode,1,Lightning,Pokemon,1,90,False,Electroblast 20+,,,exact_match,high,1,Pulsing Aura,Pulsing Aura,B3/56 Pulsing Aura (Pulsing Aura) [one_diamond],no_action_needed
pikachu,Pikachu,1,Lightning,Pokemon,0,60,False,Spark 10,,,ambiguous_cross_set,low,3,Fantastical Parade | Mega Shine,Fantastical Parade | Mega Shine,B2/49 Fantastical Parade (Fantastical Parade) [one_diamond]; B2b/22 Mega Shine (Mega Shine) [one_diamond]; B2b/96 Mega Shine (Mega Shine) [one_star],needs_card_number
meloetta,Meloetta,3,Psychic,Pokemon,0,70,False,Inspiring Dance 30,,,unanimous_pack,medium,2,Fantastical Parade,Fantastical Parade,B2/70 Fantastical Parade (Fantastical Parade) [two_diamond]; B2/233 Fantastical Parade (Fantastical Parade) [None],no_action_needed
mismagius,Mismagius,2,Psychic,Pokemon,1,90,False,Stored Power 60,,,unanimous_pack,medium,2,Crimson Blaze | shared pool,Crimson Blaze | Mega Rising,B1/100 Mega Rising (shared pool) [two_diamond]; B1a/31 Crimson Blaze (Crimson Blaze) [two_diamond],no_action_needed
hattrem,Hattrem,2,Psychic,Pokemon,1,80,False,Disarming Voice 20,,,exact_match,high,1,Pulsing Aura,Pulsing Aura,B3/70 Pulsing Aura (Pulsing Aura) [two_diamond],no_action_needed
aromatisse,Aromatisse,2,Psychic,Pokemon,1,100,False,Perfume Blast 60,,,unanimous_pack,medium,2,Crimson Blaze | shared pool,Crimson Blaze | Mega Rising,B1/116 Mega Rising (shared pool) [two_diamond]; B1a/36 Crimson Blaze (Crimson Blaze) [one_diamond],no_action_needed
galarian_rapidash,Galarian Rapidash,1,Psychic,Pokemon,1,100,False,Photon Laser 40+,,,exact_match,high,1,Fantastical Parade,Fantastical Parade,B2/59 Fantastical Parade (Fantastical Parade) [two_diamond],no_action_needed
misdreavus,Misdreavus,4,Psychic,Pokemon,0,50,False,Lead,,,unanimous_pack,medium,2,Crimson Blaze | shared pool,Crimson Blaze | Mega Rising,B1/99 Mega Rising (shared pool) [one_diamond]; B1a/30 Crimson Blaze (Crimson Blaze) [one_diamond],no_action_needed
solosis,Solosis,2,Psychic,Pokemon,0,40,False,Rollout 20,,,exact_match,high,1,Crimson Blaze,Crimson Blaze,B1a/32 Crimson Blaze (Crimson Blaze) [one_diamond],no_action_needed
spritzee,Spritzee,6,Psychic,Pokemon,0,60,False,Sweet Scent,,,unanimous_pack,medium,2,Crimson Blaze | shared pool,Crimson Blaze | Mega Rising,B1/115 Mega Rising (shared pool) [one_diamond]; B1a/35 Crimson Blaze (Crimson Blaze) [one_diamond],no_action_needed
ralts,Ralts,1,Psychic,Pokemon,0,60,False,Confuse Ray,,,ambiguous_cross_set,low,2,Fantastical Parade | Pulsing Aura,Fantastical Parade | Pulsing Aura,B2/63 Fantastical Parade (Fantastical Parade) [one_diamond]; B3/63 Pulsing Aura (Pulsing Aura) [one_diamond],needs_card_number
sinistea,Sinistea,1,Psychic,Pokemon,0,30,False,Hide,,,exact_match,high,1,Fantastical Parade,Fantastical Parade,B2/74 Fantastical Parade (Fantastical Parade) [one_diamond],no_action_needed
espurr,Espurr,1,Psychic,Pokemon,0,60,False,Mumble 20,,,exact_match,high,1,Pulsing Aura,Pulsing Aura,B3/65 Pulsing Aura (Pulsing Aura) [one_diamond],no_action_needed
oricorio,Oricorio,2,Psychic,Pokemon,0,80,False,Pester the Dizzy 20+,,,unanimous_pack,medium,2,Pulsing Aura,Pulsing Aura,B3/68 Pulsing Aura (Pulsing Aura) [one_diamond]; B3/166 Pulsing Aura (Pulsing Aura) [one_star],no_action_needed
hatenna,Hatenna,1,Psychic,Pokemon,0,60,False,Stampede 10,,,exact_match,high,1,Pulsing Aura,Pulsing Aura,B3/69 Pulsing Aura (Pulsing Aura) [one_diamond],no_action_needed
bramblin,Bramblin,2,Psychic,Pokemon,0,60,False,Petty Grudge 20,,,exact_match,high,1,Pulsing Aura,Pulsing Aura,B3/72 Pulsing Aura (Pulsing Aura) [one_diamond],no_action_needed
marowak_ex,Marowak ex,1,Fighting,Pokemon,1,140,True,Bonemerang 80+,,,ambiguous_cross_set,low,4,Deluxe Pack: ex | Lunala | Mewtwo,Celestial Guardians | Deluxe Pack: ex | Genetic Apex,A1/153 Genetic Apex (Mewtwo) [four_diamond]; A1/264 Genetic Apex (Mewtwo) [double_star]; A3/236 Celestial Guardians (Lunala) [double_star]; A4b/196 Deluxe Pack: ex (Deluxe Pack: ex) [four_diamond],needs_card_number
single_strike_urshifu,Single Strike Urshifu,1,Darkness,Pokemon,0,120,False,Power Blast 110,,,exact_match,high,1,Pulsing Aura,Pulsing Aura,B3/113 Pulsing Aura (Pulsing Aura) [three_diamond],no_action_needed
sandslash,Sandslash,2,Fighting,Pokemon,1,100,False,Slash 70,,,ambiguous_cross_set,low,3,Crimson Blaze | Fantastical Parade | shared pool,Crimson Blaze | Fantastical Parade | Mega Rising,B1/123 Mega Rising (shared pool) [two_diamond]; B1a/95 Crimson Blaze (Crimson Blaze) [one_star]; B2/78 Fantastical Parade (Fantastical Parade) [one_diamond],needs_card_number
hariyama,Hariyama,2,Fighting,Pokemon,1,120,False,Megaton Slap Push 90,,,ambiguous_cross_set,low,2,Crimson Blaze | Mega Blaziken,Crimson Blaze | Mega Rising,B1/127 Mega Rising (Mega Blaziken) [two_diamond]; B1a/40 Crimson Blaze (Crimson Blaze) [two_diamond],needs_card_number
machamp,Machamp,1,Fighting,Pokemon,2,150,False,Knocking Hammer 80,,,exact_match,high,1,Fantastical Parade,Fantastical Parade,B2/81 Fantastical Parade (Fantastical Parade) [two_diamond],no_action_needed
machop,Machop,1,Fighting,Pokemon,0,70,False,Shatter 10,,,exact_match,high,1,Fantastical Parade,Fantastical Parade,B2/79 Fantastical Parade (Fantastical Parade) [one_diamond],no_action_needed
