entry_id,name,count,type,card_type,trainer_subtype,hp,attack,variant,is_ex,match_status,candidate_count,candidate_summary,recommended_resolution,confirmed_set_code,confirmed_card_number,confirmed_pack_name,confirmed_yes_no,user_notes
pok_dex,Pokédex,1,,Trainer,Item,,,,False,no_match_known_gap,0,,needs_manual_source_entry,,,,,
potion,Potion,1,,Trainer,Item,,,,False,no_match_known_gap,0,,needs_manual_source_entry,,,,,
red_card,Red Card,1,,Trainer,Item,,,,False,no_match_known_gap,0,,needs_manual_source_entry,,,,,
sabrina,Sabrina,1,,Trainer,Supporter,,,,False,ambiguous_cross_set,4,A1/225 Genetic Apex (Charizard) [two_diamond]; A1/272 Genetic Apex (Charizard) [double_star]; A4b/338 Deluxe Pack: ex (Deluxe Pack: ex) [two_diamond]; A4b/339 Deluxe Pack: ex (Deluxe Pack: ex) [two_diamond],needs_card_number,,,,,
x_speed,X Speed,1,,Trainer,Item,,,,False,no_match_known_gap,0,,needs_manual_source_entry,,,,,
bewear,Bewear,2,Fighting,Pokemon,,110,Triple Smash 50x,,False,ambiguous_cross_set,2,B1/142 Mega Rising (Mega Blaziken) [two_diamond]; B3/91 Pulsing Aura (Pulsing Aura) [two_diamond],needs_card_number,,,,,
blaziken,Blaziken,1,Fire,Pokemon,,140,Blaze Kick 100,,False,ambiguous_cross_set,2,B1/35 Mega Rising (Mega Blaziken) [three_diamond]; B3/208 Pulsing Aura (Pulsing Aura) [one_star],needs_card_number,,,,,
bulbasaur,Bulbasaur,1,Grass,Pokemon,,70,Vine Whip 40,,False,ambiguous_cross_set,3,A4b/1 Deluxe Pack: ex (Deluxe Pack: ex) [one_diamond]; A4b/2 Deluxe Pack: ex (Deluxe Pack: ex) [one_diamond]; B1a/1 Crimson Blaze (Crimson Blaze) [one_diamond],needs_card_number,,,,,
bulbasaur_alt_art,Bulbasaur,1,Grass,Pokemon,,70,Vine Whip 40,alt art,False,ambiguous_cross_set,3,A4b/1 Deluxe Pack: ex (Deluxe Pack: ex) [one_diamond]; A4b/2 Deluxe Pack: ex (Deluxe Pack: ex) [one_diamond]; B1a/1 Crimson Blaze (Crimson Blaze) [one_diamond],needs_card_number,,,,,
bulbasaur_tackle_art,Bulbasaur,3,Grass,Pokemon,,60,Tackle 20,Tackle art,False,ambiguous_cross_set,3,A4b/1 Deluxe Pack: ex (Deluxe Pack: ex) [one_diamond]; A4b/2 Deluxe Pack: ex (Deluxe Pack: ex) [one_diamond]; B1a/1 Crimson Blaze (Crimson Blaze) [one_diamond],needs_card_number,,,,,
charmander,Charmander,4,Fire,Pokemon,,60,Bite 40,,False,ambiguous_cross_set,3,B1a/11 Crimson Blaze (Crimson Blaze) [one_diamond]; B2b/7 Mega Shine (Mega Shine) [one_diamond]; B2b/91 Mega Shine (Mega Shine) [one_star],needs_card_number,,,,,
charmander_flame_tail_art,Charmander,2,Fire,Pokemon,,70,Flame Tail 30,Flame Tail art,False,ambiguous_cross_set,3,B1a/11 Crimson Blaze (Crimson Blaze) [one_diamond]; B2b/7 Mega Shine (Mega Shine) [one_diamond]; B2b/91 Mega Shine (Mega Shine) [one_star],needs_card_number,,,,,
charmeleon,Charmeleon,2,Fire,Pokemon,,80,Slash 40,,False,ambiguous_cross_set,3,B1a/12 Crimson Blaze (Crimson Blaze) [two_diamond]; B2b/8 Mega Shine (Mega Shine) [two_diamond]; B2b/92 Mega Shine (Mega Shine) [one_star],needs_card_number,,,,,
cherubi,Cherubi,1,Grass,Pokemon,,50,Sweets Relay 10+,,False,ambiguous_cross_set,4,A2a/6 Triumphant Light (Arceus) [one_diamond]; A4/23 Wisdom of Sea and Sky (shared pool) [one_diamond]; A4b/25 Deluxe Pack: ex (Deluxe Pack: ex) [one_diamond]; A4b/26 Deluxe Pack: ex (Deluxe Pack: ex) [one_diamond],needs_card_number,,,,,
chewtle,Chewtle,1,Water,Pokemon,,80,Wave Splash 40,,False,ambiguous_cross_set,2,B1/76 Mega Rising (Mega Gyarados) [one_diamond]; B2/43 Fantastical Parade (Fantastical Parade) [one_diamond],needs_card_number,,,,,
cinccino,Cinccino,2,Colorless,Pokemon,,90,Knock Away 30+,,False,ambiguous_cross_set,3,B2b/63 Mega Shine (Mega Shine) [one_diamond]; B3/143 Pulsing Aura (Pulsing Aura) [one_diamond]; B3/179 Pulsing Aura (Pulsing Aura) [one_star],needs_card_number,,,,,
corvisquire,Corvisquire,1,Colorless,Pokemon,,80,Joust 30,,False,ambiguous_cross_set,2,B1/210 Mega Rising (Mega Blaziken) [two_diamond]; B3/146 Pulsing Aura (Pulsing Aura) [two_diamond],needs_card_number,,,,,
darmanitan,Darmanitan,3,Fire,Pokemon,,120,Double Smash 40+,,False,ambiguous_cross_set,2,B1/40 Mega Rising (Mega Gyarados) [two_diamond]; B3/30 Pulsing Aura (Pulsing Aura) [two_diamond],needs_card_number,,,,,
darumaka,Darumaka,2,Fire,Pokemon,,60,Headbutt 10,,False,ambiguous_cross_set,2,B1/39 Mega Rising (Mega Gyarados) [one_diamond]; B3/29 Pulsing Aura (Pulsing Aura) [one_diamond],needs_card_number,,,,,
doublade,Doublade,1,Metal,Pokemon,,90,Dual Blades 40+,,False,ambiguous_cross_set,2,B1/171 Mega Rising (Mega Blaziken) [two_diamond]; B2/119 Fantastical Parade (Fantastical Parade) [two_diamond],needs_card_number,,,,,
eelektross,Eelektross,1,Lightning,Pokemon,,140,Thunder Fang 80,,False,ambiguous_cross_set,2,A1/109 Genetic Apex (Mewtwo) [three_diamond]; A4a/28 Secluded Springs (Secluded Springs) [two_diamond],needs_card_number,,,,,
eevee,Eevee,1,Colorless,Pokemon,,60,Jumping Kick,,False,ambiguous_cross_set,2,B1/184 Mega Rising (Mega Gyarados) [one_diamond]; B3/129 Pulsing Aura (Pulsing Aura) [one_diamond],needs_card_number,,,,,
farfetch_d,Farfetch'd,1,Colorless,Pokemon,,60,Leek Slap 40,,False,ambiguous_cross_set,6,A1/198 Genetic Apex (shared pool) [one_diamond]; A3b/102 Eevee Grove (Eevee Grove) [one_star]; A4a/56 Secluded Springs (Secluded Springs) [one_diamond]; A4b/280 Deluxe Pack: ex (Deluxe Pack: ex) [one_diamond]; A4b/281 Deluxe Pack: ex (Deluxe Pack: ex) [one_diamond] … +1 more,needs_card_number,,,,,
frillish,Frillish,1,Water,Pokemon,,60,Water Gun 20,,False,ambiguous_cross_set,2,B1/68 Mega Rising (Mega Gyarados) [one_diamond]; B3/209 Pulsing Aura (Pulsing Aura) [one_star],needs_card_number,,,,,
furfrou,Furfrou,1,Colorless,Pokemon,,70,Tackle 30,,False,ambiguous_cross_set,7,B1/206 Mega Rising (Mega Blaziken) [two_diamond]; B1/207 Mega Rising (Mega Altaria) [two_diamond]; B1/208 Mega Rising (Mega Gyarados) [two_diamond]; B1a/65 Crimson Blaze (Crimson Blaze) [two_diamond]; B2/141 Fantastical Parade (Fantastical Parade) [two_diamond] … +2 more,needs_card_number,,,,,
garbodor,Garbodor,3,Darkness,Pokemon,,130,Acid Spray 70,,False,ambiguous_cross_set,2,B1a/50 Crimson Blaze (Crimson Blaze) [two_diamond]; B2b/42 Mega Shine (Mega Shine) [one_diamond],needs_card_number,,,,,
grimer,Grimer,3,Darkness,Pokemon,,80,Sludge Bomb 40,,False,ambiguous_cross_set,2,B1a/45 Crimson Blaze (Crimson Blaze) [one_diamond]; B3/215 Pulsing Aura (Pulsing Aura) [one_star],needs_card_number,,,,,
hariyama,Hariyama,2,Fighting,Pokemon,,120,Megaton Slap Push 90,,False,ambiguous_cross_set,2,B1/127 Mega Rising (Mega Blaziken) [two_diamond]; B1a/40 Crimson Blaze (Crimson Blaze) [two_diamond],needs_card_number,,,,,
herdier,Herdier,3,Colorless,Pokemon,,90,Hammer In 50,,False,ambiguous_cross_set,2,B1/202 Mega Rising (Mega Altaria) [two_diamond]; B3/138 Pulsing Aura (Pulsing Aura) [two_diamond],needs_card_number,,,,,
lillipup,Lillipup,3,Colorless,Pokemon,,60,Puppy Pile 20x,,False,ambiguous_cross_set,2,B1/201 Mega Rising (Mega Altaria) [one_diamond]; B3/137 Pulsing Aura (Pulsing Aura) [one_diamond],needs_card_number,,,,,
magnemite_electro_ball_art,Magnemite,1,Lightning,Pokemon,,50,Electro Ball 30,Electro Ball art,False,ambiguous_cross_set,2,B1a/24 Crimson Blaze (Crimson Blaze) [one_diamond]; B3/52 Pulsing Aura (Pulsing Aura) [one_diamond],needs_card_number,,,,,
magnemite_thunder_shock_art,Magnemite,2,Lightning,Pokemon,,60,Thunder Shock 20,Thunder Shock art,False,ambiguous_cross_set,2,B1a/24 Crimson Blaze (Crimson Blaze) [one_diamond]; B3/52 Pulsing Aura (Pulsing Aura) [one_diamond],needs_card_number,,,,,
magneton_spark_art,Magneton,1,Lightning,Pokemon,,80,Spark 20,Spark art,False,ambiguous_cross_set,2,B1a/25 Crimson Blaze (Crimson Blaze) [two_diamond]; B3/53 Pulsing Aura (Pulsing Aura) [two_diamond],needs_card_number,,,,,
magneton_magnetic_blast_art,Magneton,2,Lightning,Pokemon,,90,Magnetic Blast 50,Magnetic Blast art,False,ambiguous_cross_set,2,B1a/25 Crimson Blaze (Crimson Blaze) [two_diamond]; B3/53 Pulsing Aura (Pulsing Aura) [two_diamond],needs_card_number,,,,,
makuhita,Makuhita,1,Fighting,Pokemon,,80,Strength 40,,False,ambiguous_cross_set,3,B1/126 Mega Rising (Mega Blaziken) [one_diamond]; B1/240 Mega Rising (Mega Blaziken) [one_star]; B1a/39 Crimson Blaze (Crimson Blaze) [one_diamond],needs_card_number,,,,,
meltan,Meltan,2,Metal,Pokemon,,60,Stampede 10,,False,ambiguous_cross_set,3,B1/173 Mega Rising (Mega Gyarados) [one_diamond]; B3/122 Pulsing Aura (Pulsing Aura) [one_diamond]; B3/177 Pulsing Aura (Pulsing Aura) [one_star],needs_card_number,,,,,
minccino,Minccino,4,Colorless,Pokemon,,50,Fluffy Tail,,False,ambiguous_cross_set,2,B2b/62 Mega Shine (Mega Shine) [one_diamond]; B3/142 Pulsing Aura (Pulsing Aura) [one_diamond],needs_card_number,,,,,
onix_land_crush_art,Onix,1,Fighting,Pokemon,,110,Land Crush 70,Land Crush art,False,ambiguous_cross_set,2,B1a/38 Crimson Blaze (Crimson Blaze) [one_diamond]; B3/211 Pulsing Aura (Pulsing Aura) [one_star],needs_card_number,,,,,
onix_dig_art,Onix,2,Fighting,Pokemon,,100,Dig 30,Dig art,False,ambiguous_cross_set,2,B1a/38 Crimson Blaze (Crimson Blaze) [one_diamond]; B3/211 Pulsing Aura (Pulsing Aura) [one_star],needs_card_number,,,,,
pikachu,Pikachu,1,Lightning,Pokemon,,60,Spark 10,,False,ambiguous_cross_set,3,B2/49 Fantastical Parade (Fantastical Parade) [one_diamond]; B2b/22 Mega Shine (Mega Shine) [one_diamond]; B2b/96 Mega Shine (Mega Shine) [one_star],needs_card_number,,,,,
poliwhirl,Poliwhirl,3,Water,Pokemon,,90,Hit Twice 30x,,False,ambiguous_cross_set,2,B1/296 Mega Rising (Mega Gyarados) [one_star]; B3/34 Pulsing Aura (Pulsing Aura) [two_diamond],needs_card_number,,,,,
porygon,Porygon,3,Colorless,Pokemon,,60,Stiffen,,False,ambiguous_cross_set,2,B1a/56 Crimson Blaze (Crimson Blaze) [one_diamond]; B3/222 Pulsing Aura (Pulsing Aura) [one_star],needs_card_number,,,,,
porygon2,Porygon2,1,Colorless,Pokemon,,90,Speed Attack 40,,False,ambiguous_cross_set,2,B1a/57 Crimson Blaze (Crimson Blaze) [two_diamond]; B3/223 Pulsing Aura (Pulsing Aura) [one_star],needs_card_number,,,,,
ralts,Ralts,1,Psychic,Pokemon,,60,Confuse Ray,,False,ambiguous_cross_set,2,B2/63 Fantastical Parade (Fantastical Parade) [one_diamond]; B3/63 Pulsing Aura (Pulsing Aura) [one_diamond],needs_card_number,,,,,
rolycoly,Rolycoly,3,Fighting,Pokemon,,80,Rolling Tackle 20,,False,ambiguous_cross_set,2,B1/145 Mega Rising (Mega Gyarados) [one_diamond]; B3/92 Pulsing Aura (Pulsing Aura) [one_diamond],needs_card_number,,,,,
sandshrew,Sandshrew,2,Fighting,Pokemon,,70,Scratch 10,,False,ambiguous_cross_set,4,B1/122 Mega Rising (shared pool) [one_diamond]; B1a/94 Crimson Blaze (Crimson Blaze) [one_star]; B2/77 Fantastical Parade (Fantastical Parade) [one_diamond]; B2/170 Fantastical Parade (Fantastical Parade) [one_star],needs_card_number,,,,,
sandslash,Sandslash,2,Fighting,Pokemon,,100,Slash 70,,False,ambiguous_cross_set,3,B1/123 Mega Rising (shared pool) [two_diamond]; B1a/95 Crimson Blaze (Crimson Blaze) [one_star]; B2/78 Fantastical Parade (Fantastical Parade) [one_diamond],needs_card_number,,,,,
skrelp,Skrelp,1,Darkness,Pokemon,,60,Razor Fin 40,,False,ambiguous_cross_set,2,B1/159 Mega Rising (Mega Blaziken) [one_diamond]; B3/218 Pulsing Aura (Pulsing Aura) [one_star],needs_card_number,,,,,
steelix,Steelix,3,Metal,Pokemon,,150,Metal Defender 100,,False,ambiguous_cross_set,2,B1a/51 Crimson Blaze (Crimson Blaze) [two_diamond]; B3/219 Pulsing Aura (Pulsing Aura) [one_star],needs_card_number,,,,,
stoutland,Stoutland,1,Colorless,Pokemon,,150,Fighting Fangs 70+,,False,ambiguous_cross_set,3,B1/203 Mega Rising (Mega Altaria) [three_diamond]; B1/249 Mega Rising (Mega Altaria) [one_star]; B3/139 Pulsing Aura (Pulsing Aura) [three_diamond],needs_card_number,,,,,
stufful,Stufful,1,Fighting,Pokemon,,70,Tackle 30,,False,ambiguous_cross_set,2,B1/141 Mega Rising (Mega Blaziken) [one_diamond]; B3/90 Pulsing Aura (Pulsing Aura) [one_diamond],needs_card_number,,,,,
tangela,Tangela,3,Grass,Pokemon,,80,Bind 20,,False,ambiguous_cross_set,2,B2/205 Fantastical Parade (Fantastical Parade) [one_star]; B3/1 Pulsing Aura (Pulsing Aura) [one_diamond],needs_card_number,,,,,
trubbish,Trubbish,1,Darkness,Pokemon,,70,Drool 30,,False,ambiguous_cross_set,3,B1a/49 Crimson Blaze (Crimson Blaze) [one_diamond]; B1a/74 Crimson Blaze (Crimson Blaze) [one_star]; B2b/41 Mega Shine (Mega Shine) [one_diamond],needs_card_number,,,,,
varoom,Varoom,1,Metal,Pokemon,,70,Suffocating Gas 40,,False,ambiguous_cross_set,2,B2a/75 Paldean Wonders (Paldean Wonders) [one_diamond]; B2b/49 Mega Shine (Mega Shine) [one_diamond],needs_card_number,,,,,
zorua,Zorua,2,Darkness,Pokemon,,60,Ascension,,False,ambiguous_cross_set,4,B2b/43 Mega Shine (Mega Shine) [one_diamond]; B2b/102 Mega Shine (Mega Shine) [one_star]; B3/105 Pulsing Aura (Pulsing Aura) [one_diamond]; B3/174 Pulsing Aura (Pulsing Aura) [one_star],needs_card_number,,,,,
zygarde_10_forme,Zygarde 10% Forme,1,Fighting,Pokemon,,80,Bite 30,,False,no_match,0,,needs_reference_expansion,,,,,
zygarde_50_forme,Zygarde 50% Forme,3,Fighting,Pokemon,,120,Cell Storm 60,,False,no_match,0,,needs_reference_expansion,,,,,
