screenshot,row,column,crop_id,auto_fill,proposed_card_name,score,top_3,reason
IMG_1533.PNG,2,3,IMG_1533_r2c3,False,,66.7,Seel (67); Numel (57); Elesa (57),score 67 below threshold
IMG_1533.PNG,3,1,IMG_1533_r3c1,False,,61.5,Phione (62); Growlithe (50); Shinx (50),score 62 below threshold
IMG_1533.PNG,3,2,IMG_1533_r3c2,False,Mandibuzz,81.8,Mandibuzz (82); Meganium (48); Electabuzz (44),score 82 < 90 or name not in OCR
IMG_1533.PNG,3,3,IMG_1533_r3c3,False,,72.7,Eevee (73); Eevee ex (71); Indeedee ex (59),score 73 below threshold
IMG_1534.PNG,1,1,IMG_1534_r1c1,False,,59.3,Bronzong (59); Bronzor (54); Brionne (46),score 59 below threshold
IMG_1534.PNG,1,2,IMG_1534_r1c2,False,,70.0,Bisharp (70); Exp. Share (46); Bibarel ex (44),score 70 below threshold
IMG_1534.PNG,1,3,IMG_1534_r1c3,False,Magearna,84.2,Magearna (84); Magmar (59); Magneton (53),score 84 < 90 or name not in OCR
IMG_1534.PNG,2,1,IMG_1534_r2c1,False,,44.4,Vibrava (44); Braviary (42); Luxray ex (40),score 44 below threshold
IMG_1534.PNG,2,2,IMG_1534_r2c2,False,,62.5,Net Ball (62); Bramblin (62); Ralts (62),score 62 below threshold
IMG_1534.PNG,2,3,IMG_1534_r2c3,False,,70.0,Herdier (70); Rocky Helmet (48); Shellder (48),score 70 below threshold
IMG_1534.PNG,3,1,IMG_1534_r3c1,False,,75.0,Audino (75); Mega Audino ex (58); Deino (53),score 75 below threshold
IMG_1534.PNG,3,2,IMG_1534_r3c2,False,Corvisquire,88.0,Corvisquire (88); Squirtle (54); Corviknight ex (50),score 88 < 90 or name not in OCR
IMG_1534.PNG,3,3,IMG_1534_r3c3,True,Korrina,100.0,Korrina (100); Koraidon (67); Chikorita (62),score 100 >= 95
IMG_1535.PNG,1,1,IMG_1535_r1c1,True,Cheren,100.0,Cheren (100); Serena (67); Archen (67),score 100 >= 95
IMG_1535.PNG,1,2,IMG_1535_r1c2,True,Arena of Antiquity,100.0,Arena of Antiquity (100); Rare Candy (50); Fantina (48),score 100 >= 95
IMG_1535.PNG,1,3,IMG_1535_r1c3,False,,0.0,,score 0 below threshold
IMG_1535.PNG,2,1,IMG_1535_r2c1,False,,57.1,Ralts (57); Tauros (50); Latias (50),score 57 below threshold
IMG_1535.PNG,2,2,IMG_1535_r2c2,False,Shellder,84.2,Shellder (84); Shelly (59); Shellos (56),score 84 < 90 or name not in OCR
IMG_1535.PNG,2,3,IMG_1535_r2c3,False,,0.0,,score 0 below threshold
IMG_1535.PNG,3,1,IMG_1535_r3c1,False,,0.0,,score 0 below threshold
IMG_1535.PNG,3,2,IMG_1535_r3c2,False,,0.0,,score 0 below threshold
IMG_1535.PNG,3,3,IMG_1535_r3c3,False,,0.0,,score 0 below threshold
IMG_1536.PNG,1,1,IMG_1536_r1c1,False,Dratini,82.4,Dratini (82); Drapion (59); Dragonair (53),score 82 < 90 or name not in OCR
IMG_1536.PNG,1,2,IMG_1536_r1c2,False,Pidgey,80.0,Pidgey (80); Pidgeot (62); Pidgeotto (56),score 80 < 90 or name not in OCR
IMG_1536.PNG,1,3,IMG_1536_r1c3,False,Rattata,82.4,Rattata (82); Raticate (56); Patrat (50),score 82 < 90 or name not in OCR
IMG_1536.PNG,2,1,IMG_1536_r2c1,False,,61.5,Raticate (62); Dragonite ex (47); Caterpie (46),score 62 below threshold
IMG_1536.PNG,2,2,IMG_1536_r2c2,False,Jigglypuff,87.0,Jigglypuff (87); Wigglytuff (70); Sigilyph (48),score 87 < 90 or name not in OCR
IMG_1536.PNG,2,3,IMG_1536_r2c3,False,,50.0,Flame Patch (50); Fletchling (44); Rare Candy (44),score 50 below threshold
IMG_1536.PNG,3,1,IMG_1536_r3c1,False,,70.0,Dubwool (70); Wooloo (42); Buzzwole ex (42),score 70 below threshold
IMG_1536.PNG,3,2,IMG_1536_r3c2,False,,0.0,,score 0 below threshold
IMG_1536.PNG,3,3,IMG_1536_r3c3,False,,0.0,,score 0 below threshold
IMG_1537.PNG,1,1,IMG_1537_r1c1,False,,63.2,Awakening (63); Greninja ex (57); Arcanine (56),score 63 below threshold
IMG_1537.PNG,1,2,IMG_1537_r1c2,False,Seedot,80.0,Seedot (80); X Speed (50); Sentret (50),score 80 < 90 or name not in OCR
IMG_1537.PNG,1,3,IMG_1537_r1c3,False,,40.0,Gyarados ex (40); Yamask (40); Chi-Yu (40),score 40 below threshold
IMG_1537.PNG,2,1,IMG_1537_r2c1,False,,75.0,Bulbasaur (75); Venusaur ex (46); Malamar (46),score 75 below threshold
IMG_1537.PNG,2,2,IMG_1537_r2c2,False,,0.0,,score 0 below threshold
IMG_1537.PNG,2,3,IMG_1537_r2c3,False,Sunkern,82.4,Sunkern (82); Super Rod (53); Snover (50),score 82 < 90 or name not in OCR
IMG_1537.PNG,3,1,IMG_1537_r3c1,False,,76.9,Burmy (77); Buneary (53); Luxray ex (47),score 77 below threshold
IMG_1537.PNG,3,2,IMG_1537_r3c2,False,,50.0,Hop (50); Hau (50); Hapu (40),score 50 below threshold
IMG_1537.PNG,3,3,IMG_1537_r3c3,False,,0.0,,score 0 below threshold
IMG_1538.PNG,1,1,IMG_1538_r1c1,False,,66.7,Pineco (67); Finneon (62); Iono (60),score 67 below threshold
IMG_1538.PNG,1,2,IMG_1538_r1c2,False,Houndoom,80.0,Houndoom (80); Houndoom ex (78); Houndour (60),score 80 < 90 or name not in OCR
IMG_1538.PNG,1,3,IMG_1538_r1c3,False,,66.7,Cacturne (67); Arven (67); Mareep (60),score 67 below threshold
IMG_1538.PNG,2,1,IMG_1538_r2c1,False,Clauncher,85.7,Clauncher (86); Haunter (53); Candice (53),score 86 < 90 or name not in OCR
IMG_1538.PNG,2,2,IMG_1538_r2c2,False,,62.1,Magnemite (62); Maintenance (52); Magneton (50),score 62 below threshold
IMG_1538.PNG,2,3,IMG_1538_r2c3,False,Helioptile,87.0,Helioptile (87); Sceptile ex (58); Sceptile (57),score 87 < 90 or name not in OCR
IMG_1538.PNG,3,1,IMG_1538_r3c1,False,,60.0,Gastly (60); May (57); Chansey (54),score 60 below threshold
IMG_1538.PNG,3,2,IMG_1538_r3c2,False,,58.8,Drowzee (59); Colress (59); Dwebble (59),score 59 below threshold
IMG_1538.PNG,3,3,IMG_1538_r3c3,False,,0.0,,score 0 below threshold
IMG_1539.PNG,1,1,IMG_1539_r1c1,False,,66.7,Aromatisse (67); Fomantis (48); Raticate (48),score 67 below threshold
IMG_1539.PNG,1,2,IMG_1539_r1c2,False,,60.0,Latios (60); Ariados (54); Spidops (54),score 60 below threshold
IMG_1539.PNG,1,3,IMG_1539_r1c3,False,Makuhita,84.2,Makuhita (84); Palkia ex (50); Machamp ex (48),score 84 < 90 or name not in OCR
IMG_1539.PNG,2,1,IMG_1539_r2c1,True,Nosepass,100.0,Nosepass (100); Nessa (62); Probopass (59),score 100 >= 95
IMG_1539.PNG,2,2,IMG_1539_r2c2,False,,0.0,,score 0 below threshold
IMG_1539.PNG,2,3,IMG_1539_r2c3,False,,72.7,Mienshao (73); Mienfoo (48); Bisharp (48),score 73 below threshold
IMG_1539.PNG,3,1,IMG_1539_r3c1,False,,75.0,Grimer (75); Alolan Grimer (61); Grimsley (56),score 75 below threshold
IMG_1539.PNG,3,2,IMG_1539_r3c2,False,,50.0,Seel (50); Bede (50); Eevee (44),score 50 below threshold
IMG_1539.PNG,3,3,IMG_1539_r3c3,False,Porygon,82.4,Porygon (82); Porygon2 (78); Porygon-Z (74),score 82 < 90 or name not in OCR
IMG_1540.PNG,1,1,IMG_1540_r1c1,False,,75.0,Starly (75); Staryu (62); Staraptor (53),score 75 below threshold
IMG_1540.PNG,1,2,IMG_1540_r1c2,False,,66.7,Staravia (67); Altaria (52); Larvesta (50),score 67 below threshold
IMG_1540.PNG,1,3,IMG_1540_r1c3,False,,77.8,Buneary (78); Bunnelby (53); Budew (50),score 78 below threshold
IMG_1540.PNG,2,1,IMG_1540_r2c1,False,,70.0,Roselia (70); Steelix ex (52); Greninja ex (50),score 70 below threshold
IMG_1540.PNG,2,2,IMG_1540_r2c2,False,,0.0,,score 0 below threshold
IMG_1540.PNG,2,3,IMG_1540_r2c3,False,,0.0,,score 0 below threshold
IMG_1540.PNG,3,1,IMG_1540_r3c1,False,,55.6,PokéStop (56); Lucky Ice Pop (52); Escape Rope (48),score 56 below threshold
IMG_1540.PNG,3,2,IMG_1540_r3c2,False,,0.0,,score 0 below threshold
IMG_1540.PNG,3,3,IMG_1540_r3c3,False,,75.0,Mawile (75); Mega Mawile ex (58); Maxie (53),score 75 below threshold
IMG_1541.PNG,1,1,IMG_1541_r1c1,False,,0.0,,score 0 below threshold
IMG_1541.PNG,1,2,IMG_1541_r1c2,False,Tangela,82.4,Tangela (82); Tandemaus (53); Talonflame (50),score 82 < 90 or name not in OCR
IMG_1541.PNG,1,3,IMG_1541_r1c3,False,Treecko,82.4,Treecko (82); Trevor (50); Morpeko (47),score 82 < 90 or name not in OCR
IMG_1541.PNG,2,1,IMG_1541_r2c1,False,,0.0,,score 0 below threshold
IMG_1541.PNG,2,2,IMG_1541_r2c2,False,,0.0,,score 0 below threshold
IMG_1541.PNG,2,3,IMG_1541_r2c3,False,,0.0,,score 0 below threshold
IMG_1541.PNG,3,1,IMG_1541_r3c1,False,Sewaddle,80.0,Sewaddle (80); Sandile (53); Roserade (50),score 80 < 90 or name not in OCR
IMG_1541.PNG,3,2,IMG_1541_r3c2,False,,73.7,Swadloon (74); Gladion (56); Silcoon (56),score 74 below threshold
IMG_1541.PNG,3,3,IMG_1541_r3c3,False,,0.0,,score 0 below threshold
IMG_1542.PNG,1,1,IMG_1542_r1c1,False,,0.0,,score 0 below threshold
IMG_1542.PNG,1,2,IMG_1542_r1c2,False,,60.0,Castform (60); Float Stone (52); Castform Sunny Form (52),score 60 below threshold
IMG_1542.PNG,1,3,IMG_1542_r1c3,False,,0.0,,score 0 below threshold
IMG_1542.PNG,2,1,IMG_1542_r2c1,False,,50.0,Scrafty (50); Shiftry (50); Silvally (46),score 50 below threshold
IMG_1542.PNG,2,2,IMG_1542_r2c2,False,,0.0,,score 0 below threshold
IMG_1542.PNG,2,3,IMG_1542_r2c3,False,Wooper,80.0,Wooper (80); Paldean Wooper (61); Super Potion (48),score 80 < 90 or name not in OCR
IMG_1542.PNG,3,1,IMG_1542_r3c1,False,,0.0,,score 0 below threshold
IMG_1542.PNG,3,2,IMG_1542_r3c2,False,,61.5,Castform (62); Castform Sunny Form (54); Castform Rainy Form (54),score 62 below threshold
IMG_1542.PNG,3,3,IMG_1542_r3c3,False,,66.7,Seel (67); Numel (57); Elesa (57),score 67 below threshold
IMG_1543.PNG,1,1,IMG_1543_r1c1,False,Cubchoo,82.4,Cubchoo (82); Cubone (50); Cascoon (47),score 82 < 90 or name not in OCR
IMG_1543.PNG,1,2,IMG_1543_r1c2,False,,50.0,Sobble (50); Nasty Notice (46); Brigette (46),score 50 below threshold
IMG_1543.PNG,1,3,IMG_1543_r1c3,False,,64.3,Magnemite (64); Magneton (52); Magnezone ex (52),score 64 below threshold
IMG_1543.PNG,2,1,IMG_1543_r2c1,False,Voltorb,82.4,Voltorb (82); Moltres ex (50); Victor (50),score 82 < 90 or name not in OCR
IMG_1543.PNG,2,2,IMG_1543_r2c2,False,,78.3,Electrode (78); Electrike (61); Electivire (58),score 78 below threshold
IMG_1543.PNG,2,3,IMG_1543_r2c3,False,,70.0,Morpeko (70); Murkrow (50); Meowth ex (46),score 70 below threshold
IMG_1543.PNG,3,1,IMG_1543_r3c1,False,,0.0,,score 0 below threshold
IMG_1543.PNG,3,2,IMG_1543_r3c2,False,,0.0,,score 0 below threshold
IMG_1543.PNG,3,3,IMG_1543_r3c3,False,,0.0,,score 0 below threshold
IMG_1544.PNG,1,1,IMG_1544_r1c1,False,,0.0,,score 0 below threshold
IMG_1544.PNG,1,2,IMG_1544_r1c2,False,,0.0,,score 0 below threshold
IMG_1544.PNG,1,3,IMG_1544_r1c3,False,,0.0,,score 0 below threshold
IMG_1544.PNG,2,1,IMG_1544_r2c1,False,,0.0,,score 0 below threshold
IMG_1544.PNG,2,2,IMG_1544_r2c2,False,,0.0,,score 0 below threshold
IMG_1544.PNG,2,3,IMG_1544_r2c3,False,,52.6,Mimikyu ex (53); Max Elixir (53); Giant Cape (53),score 53 below threshold
IMG_1544.PNG,3,1,IMG_1544_r3c1,False,,0.0,,score 0 below threshold
IMG_1544.PNG,3,2,IMG_1544_r3c2,False,,57.1,Nessa (57); Surskit (44); Shellos (44),score 57 below threshold
IMG_1544.PNG,3,3,IMG_1544_r3c3,False,,0.0,,score 0 below threshold
IMG_1545.PNG,1,1,IMG_1545_r1c1,False,,0.0,,score 0 below threshold
IMG_1545.PNG,1,2,IMG_1545_r1c2,False,,58.8,Giant Cape (59); Repeat Ball (56); Caterpie (53),score 59 below threshold
IMG_1545.PNG,1,3,IMG_1545_r1c3,False,,73.7,Seviper (74); Sceptile ex (52); Expert Belt (52),score 74 below threshold
IMG_1545.PNG,2,1,IMG_1545_r2c1,False,,0.0,,score 0 below threshold
IMG_1545.PNG,2,2,IMG_1545_r2c2,False,,40.0,Poké Ball (40); Paralyze Heal (40); Mega Pinsir ex (38),score 40 below threshold
IMG_1545.PNG,2,3,IMG_1545_r2c3,False,Bronzor,82.4,Bronzor (82); Bronzong (67); Byron (53),score 82 < 90 or name not in OCR
IMG_1545.PNG,3,1,IMG_1545_r3c1,False,,66.7,Chansey (67); Chandelure (58); Rare Candy (50),score 67 below threshold
IMG_1545.PNG,3,2,IMG_1545_r3c2,False,,72.7,Castform (73); Castform Snowy Form (61); Castform Sunny Form (54),score 73 below threshold
IMG_1545.PNG,3,3,IMG_1545_r3c3,False,,25.0,Ho-Oh (25); Mew ex (22); Chi-Yu (22),score 25 below threshold
IMG_1546.PNG,1,1,IMG_1546_r1c1,False,,0.0,,score 0 below threshold
IMG_1546.PNG,1,2,IMG_1546_r1c2,False,,72.7,Minccino (73); Cinccino (64); Incineroar ex (59),score 73 below threshold
IMG_1546.PNG,1,3,IMG_1546_r1c3,False,,75.0,Sina (75); Shinx (67); Flint (67),score 75 below threshold
IMG_1546.PNG,2,1,IMG_1546_r2c1,True,Potion,100.0,Potion (100); Max Potion (75); Super Potion (67),score 100 >= 95
IMG_1546.PNG,2,2,IMG_1546_r2c2,True,X Speed,100.0,X Speed (100); X Special (62); Espeon ex (62),score 100 >= 95
IMG_1546.PNG,2,3,IMG_1546_r2c3,False,,66.7,Choice Band (67); Muscle Band (67); Houndstone (60),score 67 below threshold
IMG_1546.PNG,3,1,IMG_1546_r3c1,False,,66.7,Dexio (67); Zapdos ex (62); Palkia ex (62),score 67 below threshold
IMG_1546.PNG,3,2,IMG_1546_r3c2,False,Poké Ball,94.1,Poké Ball (94); Love Ball (78); Net Ball (71),score 94 < 90 or name not in OCR
IMG_1546.PNG,3,3,IMG_1546_r3c3,False,,66.7,Terrakion (67); Training Area (56); Training Court (54),score 67 below threshold
IMG_1547.PNG,1,1,IMG_1547_r1c1,False,,64.0,Training Area (64); Feraligatr (64); Training Court (62),score 64 below threshold
IMG_1547.PNG,1,2,IMG_1547_r1c2,False,,57.1,Terrakion (57); Training Area (56); Training Court (54),score 57 below threshold
IMG_1547.PNG,1,3,IMG_1547_r1c3,False,,64.0,Training Area (64); Training Court (62); Terrakion (57),score 64 below threshold
IMG_1547.PNG,2,1,IMG_1547_r2c1,False,,58.1,Training Court (58); Torterra (56); Terrakion (54),score 58 below threshold
IMG_1547.PNG,2,2,IMG_1547_r2c2,False,,70.0,Victini (70); Victreebel (52); Corviknight ex (52),score 70 below threshold
IMG_1547.PNG,2,3,IMG_1547_r2c3,False,,52.2,Espeon ex (52); Espeon (50); Escape Rope (48),score 52 below threshold
IMG_1547.PNG,3,1,IMG_1547_r3c1,False,,0.0,,score 0 below threshold
IMG_1547.PNG,3,2,IMG_1547_r3c2,False,,0.0,,score 0 below threshold
IMG_1547.PNG,3,3,IMG_1547_r3c3,False,,0.0,,score 0 below threshold
